,zipcode,category,name,rating,review
0,15101,American,Barrel Junction,3.5,37
1,15101,American,Blue North,3.5,27
2,15101,American,Primanti Bros,3.0,40
3,15101,American,Rocky's,3.5,3
4,15101,American,Rocky's Route 8,3.0,5
5,15101,American,Burger King,3.5,6
6,15101,Asian,K Asian Bistro,4.5,78
7,15101,Asian,Golden Land Asian Cuisine,4.5,9
8,15101,Asian,Kanlaya Thai Kitchen,4.5,56
9,15101,Asian,Asian Cafe,4.0,28
10,15101,Bar,The Pour House,2.5,9
11,15101,Bar,Caliente Pizza & Drafthouse,4.0,5
12,15101,Bar,Thirsty's Bar & Grill,2.5,15
13,15101,Bar,Blue North,3.5,27
14,15101,Bar,Primanti Bros,3.0,40
15,15101,Grocery,ALDI,4.0,2
16,15003,American,Bridgetown Taphouse,4.5,67
17,15003,American,Tick Tock Bar & Cafe,3.5,10
18,15003,American,Breakfast Shoppe,4.5,4
19,15003,American,Orbit Inn,3.0,4
20,15003,American,Maple Restaurant,4.0,48
21,15003,American,K & N Restaurant,4.5,14
22,15003,American,Hollywood Cafe,2.5,3
23,15003,American,Ambridge Borough of,5.0,1
24,15003,Bar,Bridgetown Taphouse,4.5,67
25,15003,Bar,Tick Tock Bar & Cafe,3.5,10
26,15003,Bar,Firehouse Lounge,4.0,5
27,15003,Bar,Fred's Divot,2.5,3
28,15003,Bar,Talerico's Bar & Grill,3.5,13
29,15003,Bar,Serenity,5.0,1
30,15003,Bar,Hark's Place,4.0,6
31,15003,Bar,Orbit Inn,3.0,4
32,15003,Bar,Hollywood Cafe,2.5,3
33,15003,Grocery,Shop 'N Save,4.0,1
34,15005,American,Ba'Runi Grille,3.5,17
35,15005,American,Burger King,3.0,5
36,15005,Bar,Ba'Runi Grille,3.5,17
37,15005,Grocery,Giant Eagle,3.0,1
38,15005,Grocery,Walmart Supercenter,3.5,7
39,15005,Grocery,Sheetz #223,4.0,6
40,15102,American,"Au ""Grottens"" Cafe & Catering",4.5,21
41,15102,American,Lemonhead's Brightwood Grille,3.5,12
42,15102,American,Patsy's Place,4.5,25
43,15102,American,Ma & Pops Country Kitchen,4.0,55
44,15102,American,Vilka Bistro,4.0,51
45,15102,American,Duke's Station 88,1.0,2
46,15102,American,Bruegger's Bagels,4.0,9
47,15102,American,Burger King,3.0,3
48,15102,American,Eat'n Park,2.5,26
49,15102,American,TGI Fridays,3.0,53
50,15102,American,Wendy's,1.5,17
51,15102,American,Level 20,3.0,35
52,15102,Asian,Rice Inn,4.0,96
53,15102,Latin,Casa Nayarit Mexican Grill,4.0,94
54,15102,Bar,Level 20,3.0,35
55,15102,Bar,Vilka Bistro,4.0,51
56,15102,Bar,Al's Cafe,3.0,45
57,15102,Bar,Trolley Stop Inn,2.5,31
58,15102,Grocery,Giant Eagle Market District,3.0,54
59,15102,Grocery,Aldi,4.5,3
60,15102,Grocery,Ruthfred Market,3.0,2
61,15102,Grocery,SHOP 'n SAVE,3.5,8
62,15102,Grocery,Get Go Fuel Station,4.0,6
63,15102,Grocery,Walmart,2.5,12
64,15102,Grocery,Giant Eagle,2.5,8
65,15102,Grocery,Cogo's Co Stores,2.5,2
66,15102,Grocery,Giant Eagle,3.0,2
67,15014,American,Devil Dog Saloon,5.0,1
68,15014,American,Park View Bar & Grille,2.5,2
69,15014,American,American Legion Post 226,5.0,1
70,15014,Bar,Devil Dog Saloon,5.0,1
71,15014,Bar,Park View Bar & Grille,2.5,2
72,15104,American,Superior Motors,4.0,154
73,15104,American,Brew Gentlemen,4.5,117
74,15104,American,Portogallo Peppers N'at,4.0,28
75,15104,American,Emil's Lounge,4.5,44
76,15104,Bar,Lucky Frank's Irish Pub,5.0,1
77,15104,Bar,Portogallo Peppers N'at,4.0,28
78,15104,Bar,Emil's Lounge,4.5,44
79,15017,American,The Crafty Jackalope,4.0,106
80,15017,American,Topgolf,3.0,51
81,15017,American,First Watch,4.5,115
82,15017,American,Bob Evans,3.0,18
83,15017,American,Texas Roadhouse,3.0,70
84,15017,American,Rpm's Wings and Things,2.0,12
85,15017,American,Sonic Drive-In,2.5,29
86,15017,American,Railyard Grill & Tap Room,3.5,98
87,15017,American,Wheel the Bar & Lounge,2.0,8
88,15017,American,McDonald's,2.0,26
89,15017,American,Eat'n Park,3.0,21
90,15017,American,Penn Station East Coast Subs,3.5,14
91,15017,American,PapaGallo Cucina,3.0,59
92,15017,American,Bee'z Bistro & Pub,3.0,45
93,15017,American,Pittsburgh Bottleshop Cafe,2.5,77
94,15017,American,Walnut Grill - Bridgeville,3.0,110
95,15017,American,Sammy's Pin High Pub,3.5,5
96,15017,Asian,New Dragon Express,4.0,52
97,15017,Asian,Classic Chinese Cuisine,3.5,16
98,15017,Latin,El Paso Mexican Grill,3.5,54
99,15017,Bar,The Crafty Jackalope,4.0,106
100,15017,Bar,Topgolf,3.0,51
101,15017,Bar,Rumfish Grille,3.0,175
102,15017,Bar,Bubba's Gourmet Burghers and Beer,4.0,159
103,15017,Bar,Railyard Grill & Tap Room,3.5,98
104,15017,Bar,Wheel the Bar & Lounge,2.0,8
105,15017,Bar,Bee'z Bistro & Pub,3.0,45
106,15017,Bar,Smoke Cigar Shop & Lounge,4.0,12
107,15017,Bar,Walnut Grill - Bridgeville,3.0,110
108,15017,Grocery,Fresh Thyme Farmers Market,4.0,24
109,15017,Grocery,Giant Eagle,2.0,5
110,15017,Grocery,Aldi,4.0,11
111,15017,Grocery,Giant Eagle,2.5,6
112,15017,Grocery,Cogo's,3.0,1
113,15020,American,Carousel Marina,5.0,1
114,15020,Bar,Carousel Marina,5.0,1
115,15106,American,One Thirty One East,4.5,127
116,15106,American,American Gyro,4.5,6
117,15106,American,Insurrection AleWorks,4.5,86
118,15106,American,Gab & Eat,4.5,102
119,15106,American,Bakn,4.0,347
120,15106,American,Alexion's Bar & Grill,4.0,68
121,15106,American,99 Bottles,3.5,58
122,15106,American,Riley's Pour House,4.0,84
123,15106,American,Kings,3.5,20
124,15106,Asian,Kasai,4.0,82
125,15106,Indian,Cafe Delhi,4.0,143
126,15106,Bar,99 Bottles,3.5,58
127,15106,Bar,Riley's Pour House,4.0,84
128,15106,Bar,Insurrection AleWorks,4.5,86
129,15106,Bar,One Thirty One East,4.5,127
130,15106,Bar,Alexion's Bar & Grill,4.0,68
131,15106,Bar,Duran's Restaurant & Lounge,3.0,9
132,15106,Bar,Concordia Club,5.0,1
133,15106,Bar,Manny's Rook Station Cafe,4.0,7
134,15106,Bar,Cantley's,2.0,3
135,15106,Bar,Muzzy's II,3.0,2
136,15106,Grocery,ALDI,4.0,6
137,15106,Grocery,Rahma Grocery and Halal Meat,5.0,2
138,15106,Grocery,Shop N' Save,4.0,10
139,15106,Grocery,Fine Wine & Good Spirits,3.5,4
140,15106,Grocery,Applelicious,5.0,20
141,15106,Grocery,Walmart,2.0,22
142,15106,Grocery,Family Dollar,3.0,1
143,15024,American,Tailgater's,1.5,3
144,15024,Bar,Clyde & Patties Bar,4.5,2
145,15024,Bar,Wicked Witches Bar & Grill,3.0,5
146,15024,Bar,Blue Haven Lounge,3.0,1
147,15025,American,Interchange Lounge,3.0,29
148,15025,American,Payne Hill Grille,3.0,14
149,15025,American,Falkers Tavern,5.0,4
150,15025,American,Blue Flame Restaurant,3.0,10
151,15025,American,Terrace Gardens Restaurant,4.0,5
152,15025,Bar,Interchange Lounge,3.0,29
153,15025,Bar,Terrace Gardens Restaurant,4.0,5
154,15026,American,Little Traverse Inn,5.0,2
155,15026,American,Janoski's Country Restaurant,3.0,27
156,15026,Grocery,Janoski's Farm and Greenhouse,4.0,11
157,15108,American,Hyeholde Restaurant,4.0,112
158,15108,American,Jacksons Restaurant,3.0,35
159,15108,American,Back Burner Bar & Grill,4.5,6
160,15108,American,Patrick's Pub and Grille,4.0,79
161,15108,American,Sauce Pot,4.5,6
162,15108,American,Bob Evans,3.0,29
163,15108,American,Appian Way Cafe & Lounge,4.0,6
164,15108,American,Bruegger's Bagels,3.0,13
165,15108,American,Wings Suds & Spuds,3.5,111
166,15108,American,Primanti Bros,3.5,218
167,15108,American,Rea's Restaurant,3.5,13
168,15108,American,The Hangar,3.5,28
169,15108,American,Tootsie's Diner,4.0,64
170,15108,American,Armstrong's,5.0,1
171,15108,American,Eat'n Park Restaurants,3.5,3
172,15108,American,Burger King,1.5,9
173,15108,American,Eggs N'at,4.5,196
174,15108,American,McDonald's,3.5,10
175,15108,American,The Burgh Sports Bar,3.5,46
176,15108,Asian,Kiyoshi,4.0,81
177,15108,Asian,Hunan Chinese Restaurant,3.5,26
178,15108,Asian,Tokyo,4.5,16
179,15108,Bar,Sea Shell Bar,4.0,24
180,15108,Bar,Patrick's Pub and Grille,4.0,79
181,15108,Bar,Casa Amigos,4.0,44
182,15108,Bar,The Hangar,3.5,28
183,15108,Bar,Wings Suds & Spuds,3.5,111
184,15108,Bar,Primanti Bros,3.5,218
185,15108,Bar,Back Burner Bar & Grill,4.5,6
186,15108,Bar,Appian Way Cafe & Lounge,4.0,6
187,15108,Bar,Jailhouse Saloon,3.0,6
188,15108,Bar,MJ's Steel City Saloon,3.5,13
189,15108,Bar,The Burgh Sports Bar,3.5,46
190,15108,Bar,Stardust Lounge,2.0,2
191,15108,Bar,Montour Hotel and Lounge,1.0,1
192,15108,Bar,Bar Symon,3.5,235
193,15108,Grocery,Giant Eagle,3.0,9
194,15108,Grocery,Kuhn's Market,3.0,4
195,15108,Grocery,Walmart Supercenter,3.5,9
196,15108,Grocery,La Poblanita,4.5,32
197,15108,Grocery,Coraopolis Cash Market,4.5,4
198,15108,Grocery,Giant Eagle Supermarket,2.0,2
199,15108,Grocery,Bottega Dei Sapori,4.5,34
200,15030,American,Killian's Pub,4.0,12
201,15046,American,Walker's Bar and Grill,3.5,5
202,15046,Bar,Walker's Bar and Grill,3.5,5
203,15031,American,Iron Creek Bar Grille,3.0,8
204,15031,Bar,Iron Creek Bar Grille,3.0,8
205,15031,Bar,Iron Creek,2.0,1
206,15034,Bar,Clancy's Pub,2.5,6
207,15110,American,McDonald's,1.0,10
208,15110,Bar,1313 Saloon,1.0,1
209,15110,Grocery,Save A Lot,1.0,1
210,15112,American,Bob's Lounge,4.0,5
211,15112,Bar,Bob's Lounge,4.0,5
212,15112,Bar,Hollywood Show Bar,2.5,3
213,15112,Grocery,A-Plus Mini Market,4.0,1
214,15037,American,Carriage Inn Restaurant and Catering,3.5,21
215,15037,American,Wagner's Restaurant,4.0,15
216,15037,American,Molnar's Lounge,4.0,1
217,15037,American,Rockwell's Red Lion Restaurant,4.0,27
218,15037,American,Rock Run Inn,4.5,6
219,15037,American,Bar 48 & Grille,4.0,4
220,15037,American,The Rib Crib,3.5,6
221,15037,American,Sunset Room,4.0,1
222,15037,American,Becky's Place,4.0,13
223,15037,American,Driscoll & Sons Cafe,3.0,42
224,15037,American,club 139,5.0,1
225,15037,American,R-Place Restaurant,3.0,4
226,15037,Bar,Bar 48 & Grille,4.0,4
227,15037,Bar,club 139,5.0,1
228,15037,Bar,The Rib Crib,3.5,6
229,15037,Bar,The Kickstand,1.0,6
230,15037,Bar,Cross Creek Inn,3.0,7
231,15037,Grocery,Decarlo's Fruit Market,5.0,7
232,15037,Grocery,Giant Eagle,3.5,3
233,15332,American,Hunting Lodge II,3.5,7
234,15332,American,Coconut Joe's Tiki Bar,2.0,2
235,15332,Bar,Roy's By the Tracks,4.0,1
236,15332,Bar,Coconut Joe's Tiki Bar,2.0,2
237,15332,Bar,Dennys Roadhouse,1.0,1
238,15332,Grocery,Trax Farms,3.5,41
239,15332,Grocery,Herman Farm Market,4.0,1
240,15044,American,Cala Lily Restaurant And Bar,4.0,37
241,15044,American,Barrel Junction,4.0,69
242,15044,American,Kings,2.5,13
243,15044,American,Applebee's Grill + Bar,2.5,12
244,15044,American,Atria's Restaurant & Tavern,2.5,26
245,15044,American,Buffalo Wild Wings,3.5,28
246,15044,American,Willee's Tavern,3.5,17
247,15044,American,The Clubhouse Gibsonia,3.0,55
248,15044,American,Eat'n Park,3.5,19
249,15044,American,Wendy's,1.0,1
250,15044,American,Pines Tavern,3.0,52
