,zipcode,category,count,average_rating,average_review_count
0,15101,All Restaurants,0,,
1,15101,American,0,,
2,15101,Asian,0,,
3,15101,Latin,0,,
4,15101,Indian,0,,
5,15101,Bar,0,,
6,15101,Grocery,0,,
7,15003,All Restaurants,0,,
8,15003,American,0,,
9,15003,Asian,0,,
10,15003,Latin,0,,
11,15003,Indian,0,,
12,15003,Bar,0,,
13,15003,Grocery,0,,
14,15005,All Restaurants,0,,
15,15005,American,0,,
16,15005,Asian,0,,
17,15005,Latin,0,,
18,15005,Indian,0,,
19,15005,Bar,0,,
20,15005,Grocery,0,,
21,15006,All Restaurants,0,,
22,15006,American,0,,
23,15006,Asian,0,,
24,15006,Latin,0,,
25,15006,Indian,0,,
26,15006,Bar,0,,
27,15006,Grocery,0,,
28,15007,All Restaurants,0,,
29,15007,American,0,,
30,15007,Asian,0,,
31,15007,Latin,0,,
32,15007,Indian,0,,
33,15007,Bar,0,,
34,15007,Grocery,0,,
35,15102,All Restaurants,0,,
36,15102,American,0,,
37,15102,Asian,0,,
38,15102,Latin,0,,
39,15102,Indian,0,,
40,15102,Bar,0,,
41,15102,Grocery,0,,
42,15014,All Restaurants,0,,
43,15014,American,0,,
44,15014,Asian,0,,
45,15014,Latin,0,,
46,15014,Indian,0,,
47,15014,Bar,0,,
48,15014,Grocery,0,,
49,15104,All Restaurants,0,,
50,15104,American,0,,
51,15104,Asian,0,,
52,15104,Latin,0,,
53,15104,Indian,0,,
54,15104,Bar,0,,
55,15104,Grocery,0,,
56,15015,All Restaurants,0,,
57,15015,American,0,,
58,15015,Asian,0,,
59,15015,Latin,0,,
60,15015,Indian,0,,
61,15015,Bar,0,,
62,15015,Grocery,0,,
63,15017,All Restaurants,0,,
64,15017,American,0,,
65,15017,Asian,0,,
66,15017,Latin,0,,
67,15017,Indian,0,,
68,15017,Bar,0,,
69,15017,Grocery,0,,
70,15018,All Restaurants,0,,
71,15018,American,0,,
72,15018,Asian,0,,
73,15018,Latin,0,,
74,15018,Indian,0,,
75,15018,Bar,0,,
76,15018,Grocery,0,,
77,15020,All Restaurants,0,,
78,15020,American,0,,
79,15020,Asian,0,,
80,15020,Latin,0,,
81,15020,Indian,0,,
82,15020,Bar,0,,
83,15020,Grocery,0,,
84,15106,All Restaurants,0,,
85,15106,American,0,,
86,15106,Asian,0,,
87,15106,Latin,0,,
88,15106,Indian,0,,
89,15106,Bar,0,,
90,15106,Grocery,0,,
91,15024,All Restaurants,0,,
92,15024,American,0,,
93,15024,Asian,0,,
94,15024,Latin,0,,
95,15024,Indian,0,,
96,15024,Bar,0,,
97,15024,Grocery,0,,
98,15025,All Restaurants,0,,
99,15025,American,0,,
100,15025,Asian,0,,
101,15025,Latin,0,,
102,15025,Indian,0,,
103,15025,Bar,0,,
104,15025,Grocery,0,,
105,15026,All Restaurants,0,,
106,15026,American,0,,
107,15026,Asian,0,,
108,15026,Latin,0,,
109,15026,Indian,0,,
