,zipcode,variety,quality,bar,grocery
0,15101,3.25,3.75,15.5,4.0
1,15003,1.25,3.9375,32.5,4.0
2,15005,1.25,3.25,3.5,10.5
3,15006,0.0,,,
4,15007,0.0,,,
5,15102,1.9642857142857144,3.3214285714285716,12.5,28.5
6,15014,1.25,4.166666666666667,7.5,
7,15104,1.25,4.25,13.5,
8,15015,0.0,,,
9,15017,2.0,3.1,29.5,15.5
10,15018,0.0,,,
11,15020,1.25,5.0,5.0,
12,15106,2.1590909090909087,4.090909090909091,37.5,26.5
13,15024,1.25,1.5,10.5,
14,15025,1.25,3.6,7.0,
15,15026,1.25,4.0,,4.0
16,15108,1.9318181818181817,3.7045454545454546,47.5,25.0
17,15028,0.0,,,
18,15030,1.25,4.0,,
19,15046,1.25,3.5,3.5,
20,15031,1.25,3.0,5.0,
21,15034,6.25,,2.5,
22,15110,1.25,1.0,1.0,1.0
23,15035,0.0,,,
24,15112,1.25,4.0,6.5,4.0
25,15037,1.25,3.875,16.5,8.5
26,15332,1.25,2.75,7.0,7.5
27,15044,1.666666666666667,3.0833333333333335,35.5,28.0
28,15045,1.25,4.0,,
29,15116,2.083333333333333,3.6666666666666665,8.0,3.5
30,15047,0.0,,,
31,15049,0.0,,,
32,15120,1.9642857142857144,3.261904761904762,77.5,11.5
33,15126,2.5,4.125,4.0,1.0
34,15051,0.0,,,
35,15642,1.75,3.55,25.5,26.0
36,15056,3.75,4.0,9.0,2.5
37,16046,2.083333333333333,3.5,17.0,4.5
38,15057,1.25,3.1666666666666665,2.5,11.5
39,15136,2.25,3.75,30.0,8.0
40,15131,1.25,3.0,5.5,6.5
41,15132,1.25,2.8,14.5,1.0
42,15133,1.25,4.5,9.0,
43,15135,1.25,3.75,2.5,4.0
44,15063,1.25,3.7,31.5,7.0
45,15146,3.107142857142857,3.442857142857143,42.0,48.5
46,15064,0.0,,,
47,15668,2.5833333333333335,3.7333333333333334,24.5,10.0
48,15065,1.25,3.5714285714285716,7.5,12.5
49,15068,1.776315789473684,3.5,22.0,28.5
50,15137,1.25,3.111111111111111,15.5,8.0
51,15071,1.25,3.6875,9.5,10.5
52,15139,1.8055555555555558,3.611111111111111,20.0,10.0
53,15140,6.25,,5.0,4.0
54,15201,2.8499999999999996,3.76,81.0,28.5
55,15202,1.75,3.65,28.0,7.5
56,15203,3.1547619047619047,3.869047619047619,111.0,18.5
57,15204,0.0,,,
58,15205,3.630952380952381,3.6904761904761907,35.0,25.5
59,15206,3.2065217391304346,3.8043478260869565,53.0,44.5
60,15207,1.25,3.8333333333333335,12.5,7.5
61,15208,2.916666666666667,4.0,9.0,9.0
62,15209,1.25,3.75,42.5,7.5
63,15210,2.916666666666667,3.4166666666666665,2.5,8.5
64,15211,1.25,4.071428571428571,36.0,3.0
65,15212,1.8382352941176472,3.911764705882353,76.5,13.0
66,15213,4.25,3.6555555555555554,44.5,40.5
67,15214,1.25,5.0,,
68,15215,1.875,3.0625,19.5,16.0
69,15216,3.25,3.46,50.0,31.0
70,15217,3.0681818181818183,3.712121212121212,45.5,34.5
71,15218,2.083333333333333,3.7916666666666665,37.5,5.0
72,15219,2.9891304347826084,3.847826086956522,42.5,7.5
73,15220,2.916666666666667,3.7916666666666665,9.5,9.0
74,15221,2.5,3.875,12.0,20.0
75,15222,4.232456140350878,3.8771929824561404,94.5,67.5
76,15223,2.6785714285714284,3.4285714285714284,17.5,11.5
77,15224,3.6574074074074074,3.7962962962962963,71.0,26.0
78,15225,1.25,3.25,3.5,
79,15226,1.8055555555555558,3.611111111111111,19.0,3.5
80,15227,1.9642857142857144,3.4285714285714284,17.0,21.5
81,15228,3.3928571428571432,3.9285714285714284,26.0,9.5
82,15229,3.75,4.5,18.5,6.5
83,15232,3.2065217391304346,3.717391304347826,40.0,18.5
84,15233,2.25,4.2,12.5,5.0
85,15234,3.014705882352941,3.4705882352941178,28.5,3.5
86,15235,2.7884615384615383,3.8846153846153846,35.0,25.0
87,15236,2.1590909090909087,3.5681818181818183,46.5,23.0
88,15237,2.5657894736842106,3.4342105263157894,49.0,48.5
89,15238,2.6785714285714284,3.3333333333333335,27.0,16.0
90,15239,2.5,3.25,17.5,4.0
91,15241,1.9642857142857144,3.0357142857142856,11.5,20.0
92,15243,0.0,,,
93,15260,0.0,,,
94,15290,0.0,,,
95,15142,6.25,,5.0,
96,15075,1.25,5.0,5.0,
97,15076,1.25,4.75,,10.0
98,16055,1.875,3.125,11.0,5.5
99,15143,2.083333333333333,3.6666666666666665,16.5,12.5
100,15129,1.25,3.375,10.5,
101,15144,2.5,4.25,,
102,15082,1.25,4.5,4.0,
103,15084,1.6071428571428568,3.3214285714285716,27.0,11.0
104,15085,1.25,4.5,8.5,
105,15145,1.25,3.875,11.5,3.0
106,16059,1.25,2.5,2.5,
107,15147,2.916666666666667,4.0,13.5,18.0
108,15086,1.25,3.875,14.5,4.5
109,15088,1.25,4.5,8.5,
110,15122,2.083333333333333,3.375,21.0,16.5
111,15089,1.25,4.0,7.5,3.0
112,15090,2.25,3.3333333333333335,39.0,46.0
113,15148,1.25,4.25,2.5,
