"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","01001","Agawam","MA","Springfield, MA, MA","Springfield, MA",,1.62236541817694,75,0.05,5.31,214000,0.28116213683224,5.26315789473684,0.0470467289719627,,0.0690278279725334,0.0680628272251309,81
"Zip","01002","Amherst","MA","Springfield, MA, MA","Springfield, MA",,5.49134111961337,92.31,0,0,331400,0.485142510612492,6.97224015493867,0.0461919130959565,,0.0454148471615721,0.0384615384615385,87.5
"Zip","01007","Belchertown","MA","Springfield, MA, MA","Springfield, MA",,4.66438448113841,100,0,2.15,277400,0.325497287522604,4.67924528301887,0.0543871665465032,,0.046303211351755,0.0483870967741936,94.5
"Zip","01008","Blandford","MA","Springfield, MA, MA","Springfield, MA",,2.54128070881998,0,,,224000,0.223713646532438,8.84353741496599,0.0618169642857143,,0.0601092896174863,0.0909090909090909,73
"Zip","01010","Brimfield","MA","Springfield, MA, MA","Springfield, MA",,3.10310108739428,100,,,255700,0.471512770137525,2.6083467094703,0.0605553382870552,,0.0667779632721202,0.075,73
"Zip","01011","Chester","MA","Springfield, MA, MA","Springfield, MA",,2.6896227681568,100,,,155300,0.909681611435997,-0.766773162939297,0.152691564713458,,0.223776223776224,0.0625,73
"Zip","01013","Chicopee","MA","Springfield, MA, MA","Springfield, MA",,1.11827090884683,100,0.1667,7.09,179100,0.39237668161435,6.29080118694362,0.0655443886097153,,0.0757156048014774,0.128048780487805,70
"Zip","01020","Chicopee","MA","Springfield, MA, MA","Springfield, MA",,0.588669620083233,88.89,0.0465,5.19,188500,0.212652844231792,3.79955947136564,0.0546578249336871,,0.0642570281124498,0.110294117647059,68
"Zip","01022","Chicopee","MA","Springfield, MA, MA","Springfield, MA",,0.703450127533897,,,,119100,-0.418060200668896,4.1994750656168,0.084273719563392,,0.105660377358491,0.142857142857143,71
"Zip","01026","Cummington","MA","Springfield, MA, MA","Springfield, MA",,2.60907504363002,,,,220900,-0.674460431654676,9.73671137605564,0.0731371661385243,,0.0942028985507246,0.153846153846154,79
"Zip","01027","Easthampton","MA","Springfield, MA, MA","Springfield, MA",,4.86441133037992,100,0.0769,1.96,266400,1.10056925996205,9.09090909090909,0.0535735735735736,,0.0276203966005666,0.0256410256410256,59
"Zip","01028","East Longmeadow","MA","Springfield, MA, MA","Springfield, MA",,4.68049402604376,90,0,0,261100,0.423076923076923,7.13992613869512,0.0547797778628878,,0.0507892930679478,0.0675675675675676,78
"Zip","01030","Agawam","MA","Springfield, MA, MA","Springfield, MA",,4.75567190226876,100,0.1429,0,246400,0.571428571428571,2.79516061743846,0.0671103896103895,,0.0425742574257426,0.0581395348837209,81
"Zip","01033","Granby","MA","Springfield, MA, MA","Springfield, MA",,3.61390790710162,100,,,250700,0.320128051220488,4.37135720233139,0.0450538492221779,,0.0365965233302836,0.125,79
"Zip","01034","Tolland","MA","Springfield, MA, MA","Springfield, MA",,6.16257215733656,100,,,270500,0.445599702933531,5.91229444009397,0.0613715341959336,,0.0845070422535211,0,73
"Zip","01035","Hadley","MA","Springfield, MA, MA","Springfield, MA",,6.46999597261377,100,,,349900,0.488225157955198,10.1006922592826,0.0331580451557587,,0.0307262569832402,0.0454545454545455,79
"Zip","01036","Hampden","MA","Springfield, MA, MA","Springfield, MA",,1.48476305544368,100,,,268300,-0.111690245718541,3.71086200231929,0.0404509877003354,,0.0578313253012048,0.0833333333333333,73
