RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,seasAdj
61639,10025,New York,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,6,6,5,5,6,6,0,7,5,8,15,10,7,8,6,7,7,10,9,4,7,7,8,3,0,6,7,7,4,8,5,7,11,9,6,7,5,9,6,7,8,5,3,3,6,5,13,6,5,3,9,5,6,2,0
84654,60657,Illinois,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,35,41,34,14,33,16,17,25,40,43,51,55,55,42,35,34,19,31,21,17,31,45,56,42,103,57,36,19,38,26,37,33,44,77,101,51,75,44,31,24,36,26,25,28,144,53,52,63,52,63,29,0
61637,10023,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,7,9,3,6,7,7,7,7,7,4,7,9,9,6,6,6,4,12,9,4,9,,,,,,0
91982,77494,Texas,4,25,17,20,26,24,14,21,15,13,13,7,12,17,14,19,23,37,19,15,31,26,11,9,14,18,17,22,18,22,19,12,5,15,8,10,13,15,12,14,32,19,17,17,8,14,17,5,6,14,12,12,23,20,26,21,21,15,16,15,13,27,34,32,34,34,31,22,20,23,29,12,17,18,26,28,28,27,32,24,21,22,26,17,16,18,26,19,30,32,39,27,17,23,25,21,23,26,28,38,47,32,60,37,48,44,48,25,52,56,50,68,63,56,34,41,53,36,34,18,35,33,37,46,38,44,42,26,,0
93144,79936,Texas,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,13,17,20,13,13,13,19,17,24,18,27,26,17,14,20,12,17,14,34,26,24,16,17,18,22,17,11,17,14,18,29,27,26,29,30,21,24,16,21,19,17,25,33,25,37,33,35,20,28,20,22,12,15,27,21,31,41,36,28,23,38,17,24,27,18,43,38,38,44,34,20,27,21,32,23,31,18,46,30,38,35,38,32,33,22,27,20,18,22,38,37,43,42,42,33,35,33,0
91940,77449,Texas,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,28,31,12,22,21,23,25,30,49,44,67,63,56,40,35,48,36,24,51,48,67,83,79,38,85,73,62,90,48,43,81,88,77,108,114,96,68,79,66,75,69,50,84,93,88,81,89,101,60,68,69,66,46,37,77,56,102,89,89,88,91,82,58,73,39,52,57,58,79,86,86,80,72,71,0
91733,77084,Texas,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,36,29,43,56,58,52,82,61,56,55,51,53,39,32,55,51,48,59,59,56,42,51,52,50,37,47,63,45,69,72,61,46,43,48,39,40,27,32,47,45,68,63,64,66,67,62,0
61616,10002,New York,8,6,8,4,5,6,7,10,5,7,5,2,2,2,2,4,3,11,5,3,8,20,7,7,7,11,5,3,10,11,1,9,2,9,7,7,5,6,7,6,10,6,12,5,4,3,10,4,7,7,7,5,8,11,10,11,8,10,7,9,7,11,8,5,3,7,10,9,5,5,8,7,1,6,6,3,7,5,9,5,13,1,3,4,6,4,7,6,5,6,7,1,1,4,2,1,1,3,0,0,2,1,1,3,2,1,2,1,2,5,5,1,2,2,5,2,0,1,1,3,1,1,,,,,,,,0
84640,60640,Illinois,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,64,53,40,44,31,55,89,12,26,51,44,52,103,35,41,43,0
97564,94109,California,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,8,15,12,10,7,15,11,7,7,9,10,6,10,14,14,10,7,,0
61630,10016,New York,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,15,9,10,15,8,6,6,18,18,22,16,12,15,11,13,9,14,13,17,11,21,21,17,18,18,9,9,10,11,19,10,23,13,13,19,0
74101,37013,Tennessee,12,38,48,54,46,60,40,45,45,19,17,19,24,44,27,41,56,57,49,39,61,43,39,26,17,33,35,42,63,32,32,38,26,19,27,18,18,25,23,28,28,28,36,34,16,26,32,32,29,27,30,42,41,38,30,40,49,31,29,26,23,37,47,54,54,48,35,46,50,42,47,29,39,39,47,52,59,60,46,62,76,48,43,41,40,46,38,62,94,91,75,88,69,55,83,45,46,59,75,61,113,68,98,83,75,74,76,49,42,55,56,64,84,87,95,83,72,60,65,48,45,66,65,80,93,82,79,85,63,0
92593,78660,Texas,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,42,52,67,59,52,46,36,28,36,20,22,39,56,59,48,74,54,48,39,36,34,35,35,59,45,88,85,67,31,74,52,33,46,34,27,44,50,67,59,66,62,61,48,50,50,30,27,49,50,64,51,65,62,42,45,31,42,31,34,44,49,64,79,61,50,33,22,0
96107,90250,California,14,6,3,11,11,12,7,7,16,8,13,5,1,4,9,5,17,14,14,11,12,9,12,2,6,11,17,18,17,15,13,14,14,7,12,5,13,12,17,8,9,12,15,17,16,13,13,6,3,18,14,14,14,16,13,13,19,12,12,9,15,17,12,17,27,17,27,17,7,13,16,15,8,12,18,24,19,21,24,20,18,11,17,7,7,15,19,29,23,23,21,14,15,19,17,15,17,20,23,19,21,17,18,22,23,23,17,14,14,19,29,21,22,17,23,28,30,14,13,12,21,28,22,26,28,29,25,14,18,0
84646,60647,Illinois,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,26,44,15,16,6,13,13,12,26,24,35,19,21,16,0
74242,37211,Tennessee,16,41,32,46,55,41,42,30,37,17,20,14,18,25,26,30,42,36,25,28,34,51,20,13,17,31,37,31,37,20,26,19,17,18,26,7,12,22,24,26,35,28,30,29,19,20,19,17,20,37,27,43,33,31,52,44,30,36,42,26,28,36,38,51,40,51,43,47,34,42,30,37,20,45,53,61,62,68,64,65,55,49,53,49,31,39,59,74,93,84,74,63,67,45,54,38,46,62,52,72,101,82,99,60,60,59,79,45,30,62,69,89,78,79,92,55,69,53,62,44,41,58,63,71,65,72,87,62,72,0
61623,10009,New York,17,3,3,2,1,2,0,1,4,1,1,1,1,2,3,2,1,1,2,2,2,4,1,2,2,4,4,2,0,3,1,6,2,0,2,2,1,2,0,0,3,4,2,1,1,2,1,1,0,0,3,1,1,4,2,3,2,3,0,2,2,2,0,0,0,5,4,6,3,2,2,0,3,5,0,2,2,1,4,2,2,3,5,1,0,1,2,1,3,4,1,2,5,1,1,5,0,0,1,3,1,2,2,2,3,0,2,4,2,1,8,1,3,7,6,3,0,3,3,4,4,3,4,3,3,2,2,3,,0
84620,60618,Illinois,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,19,19,18,17,23,13,17,15,29,18,37,36,26,28,29,19,16,13,19,23,41,38,68,40,30,34,22,24,19,17,18,30,29,24,29,32,39,27,15,25,20,21,18,19,28,31,34,36,22,20,21,0
61625,10011,New York,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,2,6,3,3,3,7,6,4,4,5,2,6,4,4,3,2,7,4,6,5,6,3,3,7,13,3,8,0
92036,77573,Texas,20,54,45,61,54,50,47,26,26,25,34,16,29,37,32,36,46,64,31,41,22,47,33,13,22,35,46,46,36,21,21,17,29,18,16,28,12,26,21,31,38,38,42,22,18,24,22,15,23,30,33,33,37,39,38,29,37,21,29,17,23,43,56,49,51,67,54,55,45,39,50,18,27,41,42,41,52,57,43,57,55,23,41,30,30,46,52,38,56,73,56,59,47,28,53,33,35,51,49,70,72,71,71,50,51,56,45,31,41,45,52,64,62,55,51,56,36,40,43,28,39,42,53,73,58,57,64,64,52,0
61703,10128,New York,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,8,4,6,5,9,14,13,7,3,4,3,8,5,7,6,6,12,7,9,10,7,10,4,8,13,4,2,14,7,13,12,14,14,14,8,17,13,6,14,14,10,6,14,15,5,6,6,7,9,8,4,5,12,9,10,12,12,14,13,7,2,4,5,8,10,6,10,10,7,8,9,5,6,7,2,5,8,8,16,15,7,6,16,2,3,1,2,6,11,13,11,9,2,0
92045,77584,Texas,22,37,47,46,41,39,40,39,33,28,27,21,25,27,31,37,52,57,31,42,39,44,28,20,20,26,37,50,40,24,25,14,17,25,30,24,7,11,21,31,43,35,38,20,25,25,25,24,13,13,34,40,31,39,33,33,29,27,32,23,33,41,42,67,34,56,53,48,58,29,26,25,29,40,44,72,67,62,74,51,45,38,43,39,18,37,57,53,67,67,62,77,48,37,57,27,40,53,61,62,62,60,53,53,39,43,54,34,32,54,57,64,65,63,50,59,51,41,48,47,31,39,60,68,63,58,66,55,51,0
69816,28269,North Carolina,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,67,37,48,42,71,89,80,96,122,89,95,91,83,89,69,59,52,93,89,81,129,102,125,119,92,83,73,52,58,78,90,137,140,127,120,102,,0
66126,20002,District of Columbia,24,12,14,14,9,19,24,18,17,9,12,11,8,13,16,9,21,23,24,25,17,19,25,19,16,28,22,23,25,17,17,28,29,17,18,16,19,16,28,23,21,14,22,20,10,14,18,18,18,21,20,21,27,28,28,20,26,27,28,22,21,25,19,24,32,37,26,15,23,22,27,21,13,30,23,28,28,33,24,22,28,25,34,21,24,30,24,32,20,34,20,30,22,19,38,11,33,26,19,38,42,27,33,38,22,26,34,34,16,24,28,28,28,21,33,25,26,23,19,13,16,22,26,27,25,29,22,23,24,0
