RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
91940,77449,Texas,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101900,104800,104100,105500,104600,106800,106400,107500,110300,112900,112800,111900,113e3,115300,118400,116900,117700,119200,121600,123500,122100,120600,121300,123200,123600,121700,121200,124400,126900,128500,128200,129400,133200,135400,136500,132200,132600,133900,138400,138700,138200,136900,134100,136600,136100,138500,137800,140200
74101,37013,Tennessee,2,105400,108400,110900,108600,102600,104200,107e3,109400,105300,102500,98200,93300,94e3,98900,103900,100600,96700,93500,94700,96800,97500,96700,89200,89400,88700,94600,95700,96400,88800,83500,79500,82400,82e3,79100,76300,75600,76e3,74e3,75400,74800,78200,76700,77300,73100,73900,75200,78e3,78900,77300,76600,78100,78e3,76800,74100,71500,71900,69e3,74e3,77300,76900,79100,78700,85200,83800,87700,85400,86e3,82500,83600,82800,89400,91900,95300,92400,95300,97100,98900,99700,103200,104500,107200,107900,111800,114e3,115100,111200,109e3,109500,113700,115800,116900,118700,120500,120600,118500,116900,117400,124600,127700,130700,128100,133700,134200,139600,136400,142e3,140600,142200,139200,140600,140200,142900,143700,146700,146300,147200,147300,152500,156900,160900,164100,165700,169700,167300,164700,165100,162200,167800
92593,78660,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131e3,132200,133200,135500,137100,139500,139800,139500,139800,140100,141200,141500,141700,142900,145400,145700,147600,148800,151100,152300,156100,160600,164e3,165600,165800,167300,168300,168900,169200,169600,170300,172800,172800,174200,175400,178500,180500,181700,182800,185500,188200,188500,189600,191500,194e3,192900,187500,189100,191200,196500,196800,198500,198100,2e5,201e3,205200,207e3,205700,199400,199100,202600,209e3,209300,211e3,216200,214900,211600,206900
96107,90250,California,4,410700,381600,345200,338400,363900,370800,352700,333800,327400,326700,308900,298300,289200,296300,288100,285900,277200,281900,258300,252500,228600,255800,258500,272300,273700,277900,283300,273100,266200,275300,278e3,282500,272100,263400,265900,277200,282900,279500,255100,247500,226100,229100,239800,247100,253300,246700,251400,239400,231900,233200,237e3,222900,217900,227400,255800,260500,245700,234300,250800,276700,283500,280600,283900,289700,291700,291100,302100,313700,326300,305e3,305100,298600,326500,328500,338100,338500,333100,347200,341e3,342100,326200,329100,326300,327100,334400,353400,357500,353500,355300,358500,359100,367100,364200,375200,366200,371700,375e3,38e4,375100,379100,378900,385600,391800,382300,371700,322800,341300,365e3,410400,403200,405800,416700,440100,452700,458400,435600,409900,414200,412e3,436400,429100,454e3,460300,474e3,477900,476900,45e4,451200
74242,37211,Tennessee,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84200,90900,86600,88300,91300,95300,95200,88500,95200,95800,101700,99e3,103e3,102800,106e3,103900,106900,110900,108e3,113400,104500,114100,112e3,122200,120900,123200,124100,126500,126600,123600,126100,127400,129900,132e3,137100,140600,138100,137200,129600,133900,132900,148900,149700,147900,137800,140200,151900,161300,161800,156200,145600
69816,28269,North Carolina,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93400,93300,86800,89e3,92e3,93e3,95600,95700,95e3,99100,101100,104600,100700,103600,103700,104e3,102700,106600,109500,110300,112700,114500,121200,129100,129700,128800,126100,125400,121200,120400,121900,128800,
97771,94565,California,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265300,274400,282e3,294900,291e3,290900,288300,289700,282300,292300,292100,296200,282800,294200,297200,307600,306800,315600,314400,321e3,323900,328100,320900,324600,333800,342200,340800,332500,34e4,348200,359500,355600,354800,349500,366e3,367300,384e3,372100,370800,368200,385500,394700,392500,391600,399300,409500,415100,405600,410200,413700,429600,423200,419900,420500,434600,437500,431700,431400,
92551,78613,Texas,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170300,171100,174500,174e3,176200,174800,176200,181700,185900,189600,185900,185400,185800,187900,188900,190400,191100,193e3,194700,195800,196100,193300,195e3,196500,201600,203500,203300,204600,207700,207700,202100,200900,201600,204e3,204600,214300,218200,220900,213800,215200,211800
90654,75052,Texas,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103e3,101400,95800,88800,88900,95900,105600,111200,110100,106500,103500,105e3,109500,112700,113600,114100,118100,119500,116900,111800,114900,121800,125300,124400,121900,126900,131600,137e3,135e3,135e3,135300,137700,138300,139100,139100,130200,131100,134100,142400,142700,145900,152500,153900,152800,152300,155700,149100,149e3,143500,
70829,30044,Georgia,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59200,59800,60100,60100,61100,60900,63e3,63300,63200,61900,62800,64200,64900,65600,66700,69400,69900,71100,70800,71500,72100,73300,74900,78500,78300,79800,76300,76900,78100,81500,86600,87e3,87400,86800,89900,91400,92900,92200,93500,95200,96700,95200,94e3,93900,99100,100400,98700,94900,96e3,98500,99900,99400,99100,99900,102400,107600,110200,107100,107400,105300,111300,107600,114900,115900,121100,121200,121600,122e3,120300,123900,125100,130600,129600,132700,131100,134800,134900,134400,134400,137e3,140500,140500,141400,,
