RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
84654,60657,Illinois,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207900,207300,208400,205800,201200,197e3,195800,198600,203200,208800,209500,207700,210300,210700,213200,218300,229e3,234300,235200,231100,225300,221200,221500,223900,220800,222500,223800,224500,224100,222900,228400,230600,237700,233e3,228e3,228100,233500,240500,237e3,244200,248500,250700,246600,247200,249100,248400,245400,244100,241900,234200,232800,233300
91982,77494,Texas,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169e3,167900,172500,174400,175600,177600,178100,173400,170500,172500,171400,169100,166600,166100,166e3,169100,171900,175300,174900,178700,178700,177200,178500,178600,178200,177e3,176900,179300,179300,181600,185e3,186200,188200,180800,182400,186300,194200,196800,192300,191e3,187100,189800,191100,196e3,197600,201200,204200,204600,198800,196800,199e3,204600,208200,210400,211e3,211700,211400,213700,213700,217400,218600,222900,226200,231800,235e3,232700,231800,231200,232e3,231e3,228700,227200,230600,231800,235300,233200,233600,232400,230600,230900,229200,232700,233800,239100,236200,238100,236700,242e3,242500,242300,
93144,79936,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116400,115900,113600,111500,111500,111300,114800,117200,117400,115700,113200,113100,114200,116100,118600,117100,118800,116700,117400,116700,116800,119e3,112500,113100,112500,117900,118e3,117700,116800,117600,118100,118700,117100,115900,115800,116500,117400,116700,115700,115200,117100,117300,119200,116500,117800,114700,115400,118900,116900,115600,111500,114200,114900,114200,113500,114700,116300,117500,118100,119500,120100,122e3,120200,121300,118200,120700,120600,123400,122e3,122200,122100,124700,125800,124400,123400,121400,125300,127500,129600,129300,127800
91940,77449,Texas,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152200,154e3,155800,159700,161400,163700,164400,164800,164400,166600,167400,168200,169700,170200,170900,172900,173600,175600,178700,179100,179800,176600,176900,178100,177300,179200,179e3,181400,182100,181600,183100,184200,187400,186800,186900,187300,187e3,185700,184e3,187200,190600,191200,191800,191400,194500,193400,195100,194100
74101,37013,Tennessee,5,158400,156500,158e3,156100,156400,157100,154500,155600,154e3,16e4,159600,159500,155e3,155300,154e3,152e3,148700,152500,149200,148600,141700,143500,141400,146500,148400,150100,146e3,144300,140400,140700,139300,143900,141600,138200,138300,142100,150500,145800,148700,143100,142400,138400,135500,137100,132100,134100,135400,140900,141200,139200,135100,136800,137100,141e3,142700,144700,140700,142400,145600,146700,145e3,141e3,141100,142800,144200,147500,145300,148900,149400,150800,150300,151800,153100,154200,156400,154900,155e3,152200,154800,153500,156500,155400,158300,159400,162800,164e3,165e3,166300,168500,171e3,172100,172600,173400,175900,177700,181300,182100,182800,182500,184400,187100,188700,191600,194800,199500,200700,2e5,200600,203800,208600,211100,214e3,216e3,216900,219400,224800,223500,223e3,222800,232500,239600,243600,243800,245300,244200,246700,242400,247e3
92593,78660,Texas,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184300,187100,189400,193400,196500,199e3,200800,201300,204400,202700,202600,208600,206200,207300,198600,203600,205100,211400,213400,215100,217400,224e3,229900,229800,232400,232800,235300,233700,234600,234500,237700,240400,242200,242100,241100,248200,249400,252600,252e3,252300,255300,254600,255400,255400,253600,255500,258700,262300,264200,268600,270400,271600,263700,262100,261500,267300,272100,274600,275300,277800,279900,283600,287100,287900,282200,277700,281800,286700
96107,90250,California,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374800,367600,382900,387500,396900,384e3,410600,417400,449700,428600,433200,422100,428600,451200,459600,467e3,465500,504800,515500,509300,473700,500300,500100,501600,486e3,506400,525700,528200,514100,523900,520800,531900,522800,519900,536e3,538700,549800,530300,527700,521100,541e3,540700,549300,547800,535e3,553500,557100,586300,575300,579100,573800,585600,580500,588e3,587500,600200,606300,613300,645300,654300,649700,606e3,636200,638700,652600,618600,620600,641200,649400,660500,678200,686600,685700,657200,678100,701500,705100,685900
74242,37211,Tennessee,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179800,182100,181400,180800,179300,179800,179600,184e3,187200,190600,193300,195900,196900,197300,197800,199900,202100,208300,212600,214400,212300,206600,207800,206100,214900,215e3,224500,223800,227100,223500,224300,227800,233900,241500,241800,241e3,240100,244500,247300,245800,247300,247e3,249200,254500,258e3,262100,257900,258600,257800,264400,269600
84620,60618,Illinois,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198800,204400,199500,209400,214100,216700,216400,211700,213800,211200,216300,221400,224800,223100,228900,224100,226700,222100,235800,231500,234800,230100,229e3,221e3,226200,235500,243800,236900,231200,233800,234900,241500,241500,243900,236e3,229500,226100,226500,222900,212100,221800,232300,244300,225800,233400,247400,257100,248300,245200,246500,249e3,238300
92036,77573,Texas,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168300,169e3,168300,167500,169300,169200,172800,174200,175700,178900,177400,178400,175100,177800,176400,178600,178700,18e4,178100,180500,185200,190400,189700,187400,188e3,189500,191900,192e3,192600,194100,197e3,197200,203900,200200,201900,193700,193200,193200,202900,206700,210500,206500,207600,206200,205900,209100,214500,219200,222700,217100,219600,221400,228700,224400,225300,221500,221e3,223600,228e3,232900,228700,229700,229100,224600,223700,217700
