RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
61639,10025,New York,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000100,1000700,931100,872100,899100,1024400,1067700,1113200,1064800,1082e3,1075900,1023100,908600,866600,975600,1009300,1133400,1084e3,1125e3,1080900,1387800,1393300,1386700,1117700,1132100,1190600,1124400,1259700,1168400,1151600,1042500,998100,1033e3,988500,1086800,1047800,1054300,1078500,1169400,1305100,1319500,1305700,1196600,1056800,1041700,976e3,945100,918900,952600,1131200,1174600,1142600,1139900,1168400,1247700,1196700
84654,60657,Illinois,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463100,464600,475e3,457500,471900,464100,460600,450900,449200,451600,442500,445600,445500,459700,454400,461e3,467200,470400,465700,434800,440600,445200,473600,471e3,466200,462500,472400,466300,463900,459100,491e3,464300,468200,462400,502700,501600,486400,476200,471500,476600,464e3,477500,483100,484200,472500,477900,495100,512400,511200,522500,516100,519900
91982,77494,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283200,295900,299200,296500,283500,280700,269700,272e3,274600,278100,291700,295700,304400,297800,291400,277800,278500,285200,300200,301500,299800,280400,272100,272e3,295700,304600,304700,294400,297800,305100,303900,299900,300500,303900,306900,301100,311200,314200,315500,304600,305700,307400,314600,318100,317e3,317700,317900,324400,327800,339100,338900,342800,336700,343700,352e3,362700,362800,357700,352e3,348300,348600,352200,361600,363600,364200,363400,366300,368700,373300,372500,375800,373e3,376700,373800,374400,376300,37e4,370100,371400,372500,377900,370300,378700,376500,396600,390400,388600,367200,364400,357e3,
93144,79936,Texas,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195e3,181500,182400,176600,182900,180800,180200,176800,180400,209700,209300,205300,187600,193800,193e3,189e3,176e3,179600,194300,201e3,194700,184e3,180700,185900,186300,196e3,193200,203300,202e3,203300,194100,184900,193e3,199100,209400,201400,188300,186e3,194800,199e3,199e3,191100,189700
61616,10002,New York,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796e3,782100,751700,761300,784100,855100,840400,879200,876e3,895300,880300,861200,865100,923900,918600,916700,828800,856900,857600,903300,1081500,1138900,1133500,906e3,903400,868500,899700,788700,782700
74242,37211,Tennessee,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291200,278500,287500,286500,289200,283300,309900,313100,321900,305800,307500,310800,310100,312200,311500,316100,318700,323100,316400,323200,330800,334200,329400,326e3,325800,332300,335900,344500,350200,353900,364e3,359700,357600,352400,368200,368400,370100,364200,372800,371900,378800,367500,378e3,382900,391400,388400,375900,384600,384500,384200,383600
84620,60618,Illinois,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423200,441200,459300,463700,445800,460600,444300,469200,442900,458900,443400,461200,452200,455600,458800,468500,501200,485100,475200,443500,482300,493500,514300,477200,473500,451700,470400,472200,481400,477800,485700,489100,498e3,484400,475600,472300,480500,482700,458400,455500,489300,491700,515900,489900,499900,478700,474e3,463300,468400,455700,472900,454700
92036,77573,Texas,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267400,268500,268500,258e3,264800,265900,267600,272800,275400,277900,268900,268600,266800,268200,269300,270700,270100,275700,278e3,280500,276400,275600,283500,287900,292e3,287400,286200,295700,297200,298500,302400,305600,307e3,303100,303100,306100,305100,306800,309500,310200,311700,313400,312200,310900,327200,329500,332600,316e3,314800,314500,320700,338400,341400,343100,321400,317300,314200,326200,335800,332600,338600,335500,343e3,340800,345800,348300
92045,77584,Texas,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266800,264800,266400,253900,254900,252400,264700,272300,274400,272200,267800,268500,274600,274800,277e3,278e3,282e3,286600,281900,283e3,273200,272800,274700,289400,293600,304200,300500,301e3,292400,297800,300600,299400,296500,300600,301800,304900,296800,303800,306e3,315400,315700,313800,317e3,313700,321900,322400,327300,322600,316900,317700,319500,311700,309200,305600,322600,319500,312700,306300,309300,317900,318700,326100,330800,330300,341300,334100
69816,28269,North Carolina,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277600,279300,261400,261700,261900,263800,271400,274400,275e3,272600,285e3,288800,293100,287300,296700,296200,300600,298500,300200,296600,296400,295e3,297600,300300,298900,293800,292700,304800,313300,321200,319900,321300,321e3,335400,343700,342400,32e4,
66126,20002,District of Columbia,11,620300,646700,640300,640900,604100,609600,598e3,579400,549500,536e3,600200,640300,652500,588300,561e3,589500,595200,585100,522100,526900,532300,543500,551e3,587400,596800,575300,543200,542100,541400,564500,594200,605800,568700,546800,593500,598e3,588500,545100,549300,56e4,551500,543400,513900,522700,525100,547100,522900,527200,546400,579300,600500,6e5,607900,59e4,557400,568300,600400,621300,62e4,627100,648800,631200,611600,607100,612800,615700,617400,615600,621200,623700,647400,627600,617200,592600,612500,613200,624300,628600,645800,641500,639100,609600,620600,621e3,628400,633300,644800,666900,677800,671600,659200,654200,672200,687e3,668800,660200,662900,688800,69e4,686700,682100,700400,705300,714900,698200,700700,689e3,702800,711800,725100,735500,731400,721100,707900,705e3,730600,719300,715300,706900,713900,735700,728700,744700,75e4,757900,759e3,753500,747900
92271,78130,Texas,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254800,256300,266500,267600,269200,264900,284100,285500,297300,281400,278800,263600,256600,255900,260300,270900,274600,277800,272400,271200,273700,279400,281e3,284300,287400,295500,29e4,288100,280600,282e3,275100,294300,306700,314500,305700,301700,308400,305900,305300,,
93123,79912,Texas,13,231800,239400,237900,229700,212300,219800,234200,249100,248800,238900,241e3,248500,257500,252600,240100,221800,217700,217e3,229300,221300,219e3,215400,231200,232800,233500,233500,240400,227600,216300,212500,248700,256500,254400,233e3,233900,246200,228500,218600,214800,233600,238800,234200,244400,231900,228800,209500,218500,220900,228300,237700,236900,216700,212500,219200,235200,222800,226800,222e3,233800,216200,214600,225700,236600,241700,237700,228600,230400,234800,236100,227600,222400,217e3,210600,199700,205400,223100,230900,232e3,226100,209100,208200,211100,212700,216800,221700,224900,216100,214700,221800,235e3,224e3,23e4,222400,24e4,243700,246600,240900,227800,222500,214200,214600,205900,212900,214e3,227600,217900,218e3,222700,231300,243900,239900,228e3,215700,219400,230200,228700,228700,230200,241600,233300,224900,229400,235900,249200,242600,248900,248800,240300
92551,78613,Texas,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411e3,408400,402200,399900,400400,402900,403400,400200,411300,399900,401200,396100,407800,413600,410800,413800,416100,433100,428500,431300,416500,425700,425300,421900,422100,433e3,446900,450100,439400,453700,443100,434600,419200,419e3,438300,441e3,443600,451400,444500,451900,
66133,20009,District of Columbia,15,673900,683100,607800,616800,577e3,587500,584800,618800,636800,630300,712400,673300,676300,573e3,603400,589500,594500,556700,558100,549700,576500,574700,618200,646e3,663400,614600,579e3,561100,590300,594600,610100,604100,598200,607300,600700,632700,623600,644e3,614300,598200,567400,556200,597700,601500,615500,570400,627700,647200,679e3,641700,621200,622700,631700,637900,633300,607700,611300,624300,627900,615900,578600,583100,573100,611200,620400,633500,625800,611900,625500,632800,642600,650100,667900,686600,676800,662600,659e3,701300,714700,722400,709700,706500,677400,652600,649700,670600,691700,684400,680400,671e3,659e3,674500,660500,686200,696600,739400,747200,720700,709400,683600,735900,725100,762400,725300,737400,714900,718200,715800,717600,717e3,731700,752500,741800,732200,712500,731300,752600,733100,770500,793300,840200,836700,794200,789500,75e4,743400,744300,728e3
91926,77433,Texas,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310200,322800,320500,323600,333400,333700,326800,315400,313500,326700,329500,317700,325300,326600,361700,352800,349e3,354500,359200,359e3,339900,336300,334700,328e3,347400,374400,380600,368500,340400,340100,333700,353500,357200,359400,348300,352e3,356e3,359400,375100,380300,371900,358800,358500,364500,364900,355800,365100
89925,73099,Oklahoma,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200600,199500,195e3,203300,201e3,204800,196800,202300,198200,200100,194e3,196e3,197800,205600,213900,217600,218300,215800,224400,224e3,232200,226300,222700,212900,210200,215200,22e4,218500,219900,217900,222800,221700,229e3,225500,231700,228200,235e3,231800,253800,252400,256800,233900,239e3,233900,232100,229100,236200,242400,244300,238900,240200,236e3,229900
91922,77429,Texas,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304e3,299800,300900,301e3,302800,310800,319800,324100,318e3,317800,321200,326500,321e3,324e3,318700,323500,319e3,320400,306500,310400,317900,334700,329800,332300,337e3,357900,364400,358300,356e3,347300,353700,347400,349100,345400,335600,329100,324500,321800,332800,334300,350200,347400,340500,343200,341100,366300,369200
91968,77479,Texas,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377900,372400,373600,382500,383900,386600,380500,381600,366800,372800,369900,372500,376400,373500,371100,366e3,374400,393e3,416600,417900,417400,372100,358e3,359600,394200,412500,414300,415e3,422900,414800,404500,424400,431e3,446200,420700,411700,396400,398700,403500,407300,409900,408700,416300,424900,404700,384e3,377300,415400,428500,424700,412600,413300,429600,
86026,63376,Missouri,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242400,242e3,235700,237700,245600,262400,264700,260700,257800,253500,253500,256300,256700,260900,263200,257100,258e3,263500,273600,278700,274800,271900,261e3,261800,262500,264700,262900,261600,261200,257300,258500,258200,263400,262800,265500,263500,269500,281700,273600,272900,266300,275800,274200,271900,281300,287300,287400,279400,279200,280200
70828,30043,Georgia,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238500,254400,242700,237e3,215700,221e3,230200,232800,230300,227600,224e3,231700,248300,271500,271900,251500,230400,227900,233100,240100,243900,246e3,246700,244700,251400,27e4,259200,267800,250800,269200,260400,266900,27e4,272200,269300,273900,274500,283200,288200,290900,290300,285900,280400,274800,273700,279500,284500,285300,285700,281600,276100,282500,288800,306300,304800,304e3,304200,302400,310800,311e3,312100,311400,305600,306500,312700,316200,335500,333700,333600,321500,319500,327300,325900,327100,304100,303800,304700,326600,340300,345400,352100,355700,,
60545,07030,New Jersey,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744700,781300,796100,808600,810700,803500,811600,790300,797900,795300,821e3,832500,843300,835e3,815200,803900,801800,823200,852300,925400,943900,954200,877600,854e3,814400,866500,
69823,28277,North Carolina,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359100,355900,359600,364600,351800,348200,347100,365900,364900,365600,369700,365400,373500,378400,382800,378e3,341100,348700,351400,387500,395200,391100,386300,388300,396700,411800,406300,41e4,394400,378700,369500,384e3,399700,398100,393200,395300,398700,405700
67732,23464,Virginia,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314900,317100,313900,318900,318600,321100,319200,327200,325600,321100,313900,316400,324700,322700,322400,325600,332100,328700,324300,323e3,337100,336500,344800,332700,345100,337400,340100,33e4,331900,334e3,344e3,340500,349200,346900,350800,348200,344200,348900,340300,341500,333e3
70874,30096,Georgia,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248700,261400,281500,289300,283300,281200,273800,257800,248900,249800,264300,292700,3e5,290100,258200,253400,262500,270600,277700,280100,288200,288300,286500,262800,277300,280600,299700,317500,318e3,306700,280400,274800,285600,290400,308e3,316400,314900,307700,313600,322600,331300,336600,326500,331600,313800,306400,301e3,303500,306200,329e3,324300,339300,311300,307200,306500,312700,32e4,326900,327400,332300,328300,338200,341200,337700,393500,404800,412700,353500,356700,360200,356200,363600,359500,382200,367100,370900,370300,374200,383900,366700,368900,362800,378700,,
99534,98052,Washington,26,635400,587600,575400,590600,589100,594100,572800,583800,596500,613600,624900,590900,551200,548100,560300,569200,529200,507900,533500,526500,540100,524500,546400,544700,539800,560300,555400,550700,520300,504900,527600,519700,597e3,584e3,585300,529900,506700,504e3,496800,499900,506800,499900,506600,492500,509200,528700,520900,502400,469300,476e3,480400,498600,513900,526200,536500,547800,549800,553700,563800,545400,553200,549600,568e3,560200,567e3,556e3,558300,555400,575e3,600200,592100,582900,568400,578200,602200,605500,616100,631900,625700,621300,610400,621900,644900,649100,657900,643400,639200,644300,648300,651800,646900,675400,691400,769300,733100,757300,681300,725500,720300,728400,714e3,714700,738900,742200,760600,755700,776200,774e3,783800,790100,828700,852500,866500,854e3,872500,885700,920200,912e3,971300,954700,943300,905100,925e3,933600,918300,888600,902e3,914800
91889,77379,Texas,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301900,296200,295500,297500,314800,312100,326700,317500,319400,299400,308700,321200,329300,317400,313500,309500,310500,317700,330300,339300,340700,335500,330600,323100,325300,339100,354200,350700,344300,339900,334200,336100,337100,349400,340400,332300,325700,346900,332600,344600,334400,341400,342500,345e3,355100,346500,354100
70810,30024,Georgia,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330400,325800,330800,339400,352100,352100,354500,351700,354900,361300,357200,371e3,370100,380200,372100,382100,382e3,379400,362800,365400,363900,367200,370200,381200,396200,399900,394e3,392200,395900,406e3,435400,
97565,94110,California,29,,,,,,,,,,,,,,,820500,769600,775900,798400,819300,811200,824e3,811200,820700,868400,882900,887800,812300,808100,813800,852500,865e3,868700,861e3,859900,880600,904100,912800,877600,844300,813900,818200,817400,836900,820200,820100,804100,809100,849800,870900,886400,836200,825400,868600,919500,974300,942400,940600,902900,926200,952700,975e3,992e3,1032e3,1083e3,1116e3,1084400,1077600,1058500,1099e3,1186e3,1218700,1316800,1288400,1322500,1218e3,1198400,1280300,1305300,1337400,1262700,1294100,1277e3,1307900,1506800,1564500,1568400,1374600,1361200,1340900,1346200,1346900,1385300,1387500,1429700,1417600,1679300,1641600,1640500,1390500,1441400,1446600,1554500,1582800,1597e3,149e4,1428300,1421500,1444600,1481800,1481900,1524700,1524700,1578300,1631600,1661100,1647200,1636300,1564100,1660800,1745100,1842600,1802300,1666900,1621600,1621400,1661e3,1664100,
72442,33139,Florida,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491500,481700,443300,447100,451600,486800,438200,460900,532500,571300,552100,488900,522600,503700,573800,578500,602200,541200,486800,494700,517e3,546300,553700,549900,535200,545100,558700,558700,608300,573500,622300,593300,609100,616500,637800,650800,649100,608e3,594300,594300,603300,636800,632800,679100,671100,624800,560500,557400,636800,684800,714100,651700,644100,628200,622500,577200,579100,624300,667800,694900,675900,685400,677100,720100,691800,740100,719900,748400,723300,698200,711100,699700,705700,710100,666200,690200,682600,727800,770500,756e3,795700,784100,847300,825700,996500,927400
72578,33411,Florida,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351400,362100,368800,366500,367600,364700,360600,360700,362600,373600,379500,383200,385400,385700,387300,385900,382400,388400,394700,397600,4e5,397700,397100,401200,407500,410800,407900,407e3,409200,423400,414200,426400,434800,455500,445800,422900,430600,439600,454600,443e3,447e3,449800,
87074,66062,Kansas,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265200,268400,267900,269200,275700,278300,280500,276500,282400,286300,291300,291100,287e3,283700,285200,298700,304100,310600,303700,311100,304e3,301500,295800,301600,31e4,310300,312900,
98325,95630,California,33,492800,494800,497e3,49e4,481800,472700,474600,463500,463900,453400,452500,445300,442400,450800,443400,432400,419500,421600,421500,418500,423400,432600,438800,429300,431500,414800,408400,405200,402600,403700,392300,395300,392700,395500,391200,393500,389900,384600,375700,369500,373500,365900,368200,362400,366400,356100,366700,365600,366300,375800,373100,381200,379100,386700,389600,398e3,409900,417100,416300,423600,430500,431800,425200,425400,427800,441100,452800,454100,465700,458500,458800,449100,451900,470800,469600,478300,472300,477800,477700,475400,476700,476100,477500,480300,485500,487600,486400,484e3,483e3,483900,487600,497800,495e3,499600,497e3,506e3,514700,520800,529100,526900,524300,521100,519500,520200,529100,54e4,549800,541200,532500,526100,539500,543800,549300,543100,542300,549100,561100,580900,576100,573600,570400,586200,597100,596900,594200,593900,579900,586300
