RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
61639,10025,New York,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819e3,822100,781600,764200,738900,858400,841500,887400,874800,896800,891300,815400,768300,722200,739800,746100,858e3,852200,915400,865300,1098100,1107100,1159100,914900,900500,901200,931600,1020400,949200,922700,863900,857400,879900,871700,817100,828400,860200,957400,1002200,1033500,1109200,1069500,1029e3,938700,942500,914300,869900,881400,872300,1027300,1058400,1032100,970800,1009300,1114e3,1163200
84654,60657,Illinois,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392600,403200,407700,416600,408100,379600,379100,381800,406400,397400,388600,381400,373200,401500,402300,405700,350700,349700,343400,364800,386800,394300,400400,382200,381500,374400,366800,362e3,373300,374500,38e4,353400,381600,385200,408100,371300,376300,380800,393500,408e3,402300,398400,396300,403800,425400,368e3,366400,358500,406600,435900,408700,417700
91982,77494,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248700,264200,258700,255500,245700,250200,248900,248e3,248400,249500,265700,269100,274600,265400,262100,253100,254100,256100,265600,261400,257e3,249300,247400,251700,258400,264500,266100,264600,272700,275800,277300,269500,269900,273700,279700,280700,281600,280500,279900,275200,276200,279100,287700,289500,284600,286200,285500,301500,301900,315100,311800,311500,303200,297100,302100,299700,303600,298800,303300,304700,305800,304400,308100,313600,316900,319700,315700,321300,321400,326900,332500,330400,327800,314700,314500,318700,318700,319900,318200,319200,314900,324800,331500,337300,339800,336e3,334400,316900,323e3,315100,
93144,79936,Texas,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118400,120300,115200,117900,113900,113700,114800,118200,119500,118600,117700,116900,116800,119700,123700,120700,122200,119e3,118500,119300,118900,115300,104600,107e3,112400,121500,119400,120700,118100,120100,119e3,119200,117600,116900,118700,114700,115600,114500,119100,119200,120600,120400,122400,120400,119500,117100,119400,123400,120900,117500,114300,119e3,118300,117e3,118e3,122600,128300,128200,125900,123700,125200,129500,128800,126700,126700,129400,128800,127800,132600,134100,130800,127800,128500,129100,126100,126800,131100,132100,130500,129100,131600
91940,77449,Texas,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145100,146600,145e3,148300,149500,153300,151700,152700,154600,155800,152600,150900,156500,162600,163800,160100,159600,165200,171100,172900,172500,169e3,166800,166e3,167500,167300,167600,163700,166300,164900,169500,170600,174500,176500,178100,179300,177600,175e3,173300,179600,183e3,183800,179400,179800,179600,177900,180600,183400
61616,10002,New York,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449200,427200,405900,437600,448400,469300,457300,497800,522600,540800,528100,549600,538600,567100,536700,536700,516500,562900,562200,567100,546e3,547100,567600,58e4,617900,588200,611400,669500,686300,660900,583700,603100,569900,625100,615700,641300,639400,670600,679700,672600,76e4,829300,889300,837800,816100,772700,752100,739800,726200,748400,791300,801500,826600,758600,763700,709200,789600,771600,860600,845900,858800,805e3,808800,842e3,848800,989800,1036600,1048700,872500,817400,799900,852500,784100,780200
74101,37013,Tennessee,7,132700,135e3,133700,133300,132300,132200,131400,131900,128300,124700,121400,125e3,131400,131800,128900,125700,128700,129200,127500,127800,124400,125900,120500,122300,122400,122e3,122500,122e3,121800,118100,117400,113400,111700,110800,110400,113600,108700,105500,102500,103900,106600,104100,103200,101100,101900,106400,110300,113500,106600,104200,104100,105100,104100,99e3,106200,112800,114800,107600,105400,108800,114200,120200,121900,125e3,123700,119900,117700,119500,125600,130600,132400,133700,132800,132e3,131700,131200,129500,130100,131e3,132300,133300,133700,135800,144400,148400,147200,142e3,141900,147500,148500,148800,147500,148200,148900,151900,152300,154700,154500,159200,162100,163800,163e3,166e3,169300,173400,173900,172900,175700,175600,180800,178700,179300,180400,185700,191800,195900,196200,196200,192200,194900,199300,207e3,214600,216200,221100,216100,218300,217200
92593,78660,Texas,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166900,167600,169400,174900,18e4,183300,179700,179e3,174300,175900,174600,179300,180700,182300,179500,178200,176800,179e3,181900,181700,184200,186700,191e3,193600,196400,201900,206700,212100,209700,205100,201800,203200,207200,208200,212300,209500,209100,206800,213400,215900,219700,219400,224200,228e3,234400,244e3,242500,242400,235300,235600,232800,228600,231100,236400,240400,242200,241600,248100,242700,241e3,236e3,241400,241400,243800,243500,246900,242900,248300
96107,90250,California,9,502e3,445700,387400,373300,420900,410200,400200,373700,383400,389600,37e4,350500,334200,318200,306100,308800,313400,323200,318700,312900,309100,330700,335600,341500,342200,349200,369100,347200,346700,332500,333300,334400,319200,326400,330100,359400,348800,358e3,324500,310800,294500,297e3,313e3,310700,323100,320800,313400,287e3,291500,298200,311300,301900,318700,319e3,332600,322200,358400,356200,368700,361800,381500,368200,358500,367700,386300,413300,415400,400900,398400,394900,450800,454500,453200,428e3,432600,444300,457500,481600,491600,487200,451e3,470300,461900,487200,496600,507200,505800,485100,487400,480700,481100,481800,496600,505600,519200,526600,526200,523700,506500,529700,535800,562100,545900,557e3,559300,567300,603200,607e3,615500,586400,590900,583200,628e3,621e3,627400,578300,573500,563700,592800,621400,644200,633800,630100,640200,666700,691700,687400,661400
74242,37211,Tennessee,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172400,173200,171200,168600,175200,175600,182300,175e3,180600,182e3,186400,183900,185100,182900,187900,189600,195200,198500,211600,213e3,212500,200500,201e3,201600,206800,211400,219e3,222800,226e3,223400,225700,227400,230300,234400,232100,234400,230300,237300,240200,240100,243600,240200,257600,257e3,265800,259900,256400,254500,245900,249e3,254600
