RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
84654,60657,Illinois,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0136,0.0138,0.0043,0.0056,0.0093,0.016,0.0109,0.0417,0,0,0,0.004,0,0.0045,0.0094,0.0134,0.0089,0,0.0096,0,0.0157,0,0.0105,0.009,0,0.0038,0,0.0077,0.0086,0,0,0,0.0197,0.0175,0,0.0026,0.0047,0,0,0.0078,0.0088,0,0.0103,0,0,0,0,0,0,,,
91982,77494,Texas,2,0.0364,0.0143,0.0241,0.043,0.0261,0.0349,0.0476,0.0411,0.0364,0.0444,0.0263,0.075,0.0392,0.0345,0.0241,0.009,0.0229,0.0306,0.0588,0.0241,0,0.0423,0.1163,0.0238,0.0366,0.0602,0.0465,0,0.0319,0.0505,0.0357,0.0385,0.0147,0.0154,0.013,0.0638,0.0222,0.0328,0.0326,0.0196,0,0.0083,0.0127,0.0164,0.0135,0,0,0.0577,0.0222,0.0274,0.0472,0.0065,0.0066,0.0059,0.02,0.0142,0,0.0217,0.0244,0.0227,0.0079,0.0176,0.0105,0,0.0044,0,0,0,0,0,0,0,0,0,0.0057,0.0056,0,0,0.0061,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106,0.0061,0.0101,0,0,0.0068,0,0.0035,0.0041,0.0034,0.0042,0,0,0,0.0066,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0.0059,,,,,,,
93144,79936,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0714,0.0364,0.0139,0.0455,0.0625,0.0192,0.0526,0.0492,0.0312,0.0267,0.0175,0.0154,0.0429,0.0182,0.0169,0.0364,0.0317,0.0417,0,0.0429,0.027,0.0278,0.0426,0.0196,0,0.0411,0,0,0.0208,0.0698,0.0312,0.0333,0.0122,0.0323,0.0811,0.0143,0.0179,0.0145,0.0323,0.0465,0.0204,0.0652,0.0545,0.0135,0.0429,0.0128,0.0429,0.0411,0.0294,0.0563,0,0.0267,0.0513,0.0208,0.0357,0.0508,0.0225,0.0526,0.0267,0.0779,0.029,0.0886,0.14,0.0156,0.0656,0.0893,0.0562,0.043,0.0241,0.0235,0.0581,0.0462,0.0149,0.0364,0.0125,0.0154,0,0.0185,0.0104,0,0.0127,0,0.05,0.037,0.013,0.0488,0.0649,0,0.0323,0.0267,0.0674,,,,,,,
91940,77449,Texas,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0952,0.0745,0.08,0.0769,0.0704,0.0778,0.102,0.0217,0.0229,0.0161,0.0244,0.0168,0.0063,0,0.0351,0.0097,0.0312,0.092,0.038,0.0076,0.012,0.04,0.0427,0.0251,0.0109,0.0172,0.0066,0.0088,0.01,0.0098,0.0114,0,0.0188,0.0305,0.016,0,0.016,0.0065,0.006,0.0076,0.0255,0,0.0183,0.0068,0.0067,0.0118,0.0056,0.0247,0,0,0.0074,0,0,0,0.009,0,0.0071,0.01,0.0166,0.0122,0,0,0.0065,0,0.0132,0,0,0.0071,0.015,0.0058,0.0116,0.0054,,,
91733,77084,Texas,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0168,0.025,0,0.0106,0.0093,0.0075,0.0075,0.0123,0.0171,0,0.0259,0.0206,0.015,0.0103,0.0104,0,0,0.0202,0.0079,0.0071,0,0.0367,0.0079,0.009,0.0342,0,0,0.0066,0.0238,0.0061,0,0,0,0,0,0.012,0,0,0,0,0.0219,0.0056,,,,,
84640,60640,Illinois,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0066,0.0128,0.0236,0,0,0.0128,0,0.0067,0.0175,0,0.0156,,,,,,
97564,94109,California,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74101,37013,Tennessee,8,0.1064,0.1158,0.0865,0.1087,0.1101,0.1096,0.1474,0.0938,0.2157,0.2115,0.3409,0.2881,0.2333,0.193,0.0769,0.1455,0.1443,0.1538,0.1098,0.1515,0.1802,0.1585,0.25,0.2353,0.2247,0.2333,0.1772,0.1901,0.2462,0.2838,0.3836,0.2923,0.3061,0.2642,0.1818,0.1905,0.2373,0.2881,0.194,0.1818,0.2308,0.2222,0.2368,0.3265,0.2419,0.2239,0.2254,0.2615,0.3088,0.2439,0.3571,0.3232,0.2737,0.2911,0.2667,0.1413,0.3205,0.3733,0.3065,0.3036,0.3086,0.1486,0.2121,0.1512,0.2235,0.1975,0.15310000000000001,0.2143,0.0704,0.092,0.1667,0.15,0.1127,0.1429,0.0632,0.0909,0.1261,0.1304,0.0357,0.0753,0.087,0.1205,0.0824,0.0857,0.0778,0.1043,0.0583,0.039,0.0604,0.0373,0.0562,0.0462,0.0198,0.0392,0.0118,0.0096,0,0.0068,0.0328,0.0108,0.0072,0.017,0.0074,0.0219,0.0137,0,0,0,0.016,0.008,0,0,0.0131,0,0,0.0142,0.018,0,0,0.0094,0,0,0,0,0,0,0,0
92593,78660,Texas,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0316,0.0355,0.0388,0.0405,0.0255,0.0411,0.0238,0.018,0.0204,0.0526,0.0139,0.0492,0.0096,0.0325,0.015,0.0083,0.012,0.0076,0.0075,0,0.0198,0,0.0225,0,0.0069,0.0196,0.0062,0.0061,0.0127,0,0.0179,0.0071,0,0,0,0.0208,0.007,0.0149,0,0.0116,0.0059,0,0,0,0,0,0.0106,0,0,0.0148,0,0,0,0.0184,0,0,0,0,0.0202,0,0,0,,,,,,
96107,90250,California,10,0.2381,0.1429,0.1923,0.2308,0.2759,0.2143,0.3939,0.1562,0.4118,0.4242,0.2759,0.2667,0.36,0.3871,0.3077,0.3023,0.2821,0.2143,0.2759,0.2414,0.3333,0.2667,0.1667,0.05,0.2581,0.2973,0.0857,0.2143,0.2368,0.2308,0.0556,0.0606,0.3,0.2,0.2609,0.1333,0.2593,0.1538,0.3704,0.2647,0.25,0.2941,0.1212,0.1613,0.3333,0.3235,0.1562,0.2353,0.2368,0.1333,0.2432,0.1463,0.1667,0.1818,0.2,0.0976,0.0357,0.0714,0.1071,0.1071,0.1351,0.069,0.0444,0.0179,0.027,0.0217,0,0,0,0,0,0.1364,0,0,0.0263,0,0,0.025,0,0.0263,0,0.0333,0.0435,0,0.0256,0.0217,0,0,0.02,0.0208,0,0,0,0.0238,0.0312,0,0.025,0.0227,0.025,0.0465,0,0.0417,0,0,0,0,0.0323,0,0.0465,0,0,0,0,0,0,0,0,0,0.069,0,0.0238,0,0,0,0,0,0,0
