"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399900,374900,405000,419950,460000,449000,412450,349900,399900,4e+05,419500,429999,499900,524000,544500,579500,536950,544000,499000,499900,462000,499000,5e+05,5e+05,5e+05,499900,475000,475000,499900,5e+05,479500,425000,415000,402500,4e+05,414900,411200,409000
"10023","New York","NY","New York-Newark-Jersey City","New York",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750000,2755000,2750000,2755000,2735000,2705000,2695000,2682500,2705000,2735000,2685000,2677500,2705000,2730000,2750000,2735000,2697500,2750000,2775000,2750000,2660000,2712500,2725000,2677500,2627500,2725000,2737500,2660000
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook",3,387250,399000,399000,399900,409900,404950,399450,399949.5,399450,399000,379000,379950,379000,369000,366950,394500,399000,399000,399700,399700,4e+05,409000,399900,429900,425000,435000,429450,435000,419000,420000,415000,415000,414000,409000,409000,415000,425000,444500,439500,460000,452500,452500,469000,447000,495000,445000,435000,490000,495000,464950,497000,475000,479000,462000,429999,470000,495000,475000,462500,475000,532450,544950,529900,549250,5e+05,499250,499700,5e+05,574950,599000,599000,599000,597000,599450,567500,534000,550000,549500,575000,589000,575000,599900,620000,630000,649000,649900,649000,599000,574900,609000,650000,599000,612450,648250,649000,649000,649000,612000,525000,499900,489900,474875,474900,480000,474950
"10002","New York","NY","New York-Newark-Jersey City","New York",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2225000,2150000,2045000,2105000,1900000,2150000,2150000,2225000,2255000,2267500,2500000,2487000,2382000,2366000,2371000,2366000,2366000,2392000,2450000,2500000,2521000,2520000,2499000,2466000,2500000,2500000,2521000,2500000,2521000,2486000
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289500,299900,269500,299900,299900,294950,324900,293500,295000,279450,279000,265000,286000,285000,284750,280000,289900,295000,295000
"94109","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222000,1169500,1365000,1350000,1295000,1249000,1199500,1250000,1365000,1399000,1405000,1425000,1405000,1397000,1445000,1399000,1399000,1444500,1365000,1355000,1395000,1475500,1516162.5,1495500,1495000,1495000,1365000,1380000,1395000,1449000,1357000
"10016","New York","NY","New York-Newark-Jersey City","New York",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2130000,1897500,2065000,2052500,2139500,2130000,2150000,2195000,2305000,2460000,2305000,2455000,2465000,2495000
"37013","Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson",8,107990,109821,107450,108400,102500,103500,105000,107900,105990,104990,103500,103500,99500,99500,99500,99500,99000,99500,92950,89990,89990,94900,90000,89900,87250,87970,85000,85000,88000,85000,89900,87900,87500,87500,84924,89300,87500,89900,89900,89900,95000,89900,97950,99900,109900,107000,109900,99900,99999,109000,109900,99900,94900,107000,111000,119900,119900,119900,119000,119900,115990,119900,119900,119900,119900,117750,114999,113900,119900,120450,117900,115400,115900,114900,121000,123900,123400,125000,129450,134900,144900,145900,146990,146445,147900,145000,142500,149900,159900,149900,149900,149950,150000,158450,164950,164900,164950,165000,164950,169450,169900,169900,172500,172000,179990
"32162","The Villages","FL","The Villages","Sumter",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205950,222500,209900,217400,217400,219900,209000,209000,199450,201500,217450,199900,209900,204900,194700,204500,211950,204900,209700,199500,193400,199000,199900,198450,197700,202400,202400,211950,209450,204900,214900,205950,209000,219000,207000,213750,229900,239450,244450,249750,239900,232900,214950,199900,213950,239000
"11375","New York","NY","New York-Newark-Jersey City","Queens",10,349000,349000,349000,339900,339900,339000,329000,329000,329000,339000,339000,339000,339888,339000,339900,339000,339000,339000,339000,329000,329000,328000,319000,309000,299000,299000,299000,329000,319000,328000,319999,325000,325000,319000,305000,299000,299000,305000,299000,299000,309000,318000,322000,325000,299950,304925,319999,317000,308750,309000,315000,325000,329000,329000,339000,339000,369000,359000,367000,359000,388888,399000,390000,365000,365000,389000,387000,389000,395000,402000,424999,424999,419500,424999,424999,424999,428500,438000,425000,425000,429000,449000,442500,449000,446750,449949,449999,450000,468500,465000,479000,478000,477000,467000,479000,475000,475000,499000,518000,564000,595000,609500,6e+05,529000,582499.5
