"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899900,932200,1095000,1075000,1050000,1049000,1070000,1034500,1034500,999000,1087000,1134500,1100000,1134450,1114900,1129900,1162500,1225000,1239000,1225000,1195000,1195000,1195000,1195000,1195000,1200000,1137500,1099000,1099500,1149900,1099000,1099000,1099000,1099341.5
"10023","New York","NY","New York-Newark-Jersey City","New York County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6323000,6300000,6400000,6323000,6400000,6442500,6300000,6300000,6417500,6485000,6530000,6575000,6675000,6575000,6500000,6625000,6485000,6800000,6925000,7140000,6800000,6995000,6995000,6995000,6835000,6695000,6685000,6995000,6995000,7142500,7295000,6995000,6835000,6995000,6995000,6995000,7224999.5
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",3,288734,285000,289900,289500,289900,289950,287912.5,287000,286616,279994.5,279900,277990,275990,275597,285065.5,291945,289000,289450,293495,287995,274995,279000,276295,279900,279900,279000,286675,280000,289418,289760,290000,290000,288990,289900,292058,297990,302856.5,310990,323945,320990,320000,325000,325000,328500,329700,335000,339500,347490,349925,350000,360000,360000,359945,359900,359900,360239,359900,367876.5,373990,389419,389900,379900,384490,385990,385000,376751,385000,376990,379900,379500,379990,379990,376386,366990,365000,364900,365000,371111.5,368000,368000,369999.5,374900,366995,369900,366075,370885,369990,374549.5,375000,374970,370395.5,370000,370000,371995,369945,366997.5,364820,360000,359990,359995,358000,350000,350000,359000,355000,355000
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695000,1499000,1414500,1379000,1349000,1450000,1450000,1425000,1397000,1397000,1349500,1349000,1337000,1312500,1349500,1384900,1465000,1495000,1525000,1550000,1537000,1498000,1372500,1250000,1284500,1250000,1289500,1279499.5,1285000,1399900,1312500,1300000,1299000,1300000,1336950
"79936","El Paso","TX","El Paso","El Paso County",5,199075,216500,232475,198375,199600,199600,203250,216500,216500,228500,224950,224950,205125,197250,197500,199000,189425,189925,186950,187470,185000,184900,179475,181050,174950,174990,184900,182450,184900,180000,178950,177970,184900,188750,189950,190150,190150,189450,189250,184900,195900,194800,189900,191850,186000,185900,189900,190750,189900,190000,182950,190000,192200,190749.5,188975,190700,189450,182000,185000,185000,190450,188450,185900,187000,191750,187000,189900,188950,182000,177450,186975,174900,180700,181225,179950,176450,178250,181250,184975,183225,183500,180000,179950,179900,174950,172500,174900,179900,176949.5,184000,193975,190475,187725,211298,184900,188925,195000,194950,197897.5,197000,207000,188500,192725,205700,202825,199950
"77449","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",6,131000,130000,134997.5,135000,135000,135000,134189.5,134313.5,134900,133876,134900,130000,129945,129000,129900,127900,129000,132200,132500,133648,130000,130000,129900,130000,130000,130108,129949.5,135000,132995,135000,135000,139900,138900,139500,139500,141800,143992.5,149000,152000,152990,153245,155074,159737,162495,165990,168990,170000,171450,172990,174990,174990,174990,175995,175992.5,176475,178990,181530,180000,182500,188990,190450,190450,190450,194900,194350,192722.5,195000,195675,194350,197350,199000,199000,199999,199000,198990,195000,195000,199900,199500,197999,196000,195000,195000,196750,194999,196750,198500,199999,202370,199900,199900,2e+05,199900,202740,204995,207640,207950,210000,212950,212475,210990,210990,215000,210000,210000,210000
"77084","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",7,149900,149900,149900,155000,150000,152000,149900,149900,155000,158900,156000,155000,155000,149990,149945,147700,148500,148633,148500,147750,142250,139925,139700,137900,137900,137450,140000,140000,140060,141945,149000,145000,145000,148850,149000,152500,150000,154900,158500,169900,167560,173995,175000,169900,174900,179697.5,171475,169900,172500,175450,169900,175000,185000,179900,172990,180000,186250,190000,192990,191495,195995,187500,190780,190780,197247.5,190000,195990,199900,203997.5,214947.5,209950,214995,204900,212500,220000,224990,224000,219700,219000,217122.5,219000,224700,219000,219990,219500,217088,214990,214990,215244,215376,218999,219900,219450,218880,210000,209990,209500,208000,218450,209500,215732,215000,219900,219995,219997.5,215000
"37013","Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",8,184990,189900,189900,189900,188000,184700,183870,187000,188000,184750,199900,194900,189900,182750,184825,184900,184900,179900,179900,176950,169900,165900,167150,168000,165450,164900,159200,155900,155995,157950,157495,151445,158250,162500,165202.5,175000,164900,172495,169950,169900,179000,188990,189990,191450,194945,197950,189900,189900,179950,189990,190000,195994.5,204000,217950,221400,228131,224942,224971,225000,226990,219900,219900,249900,249900,261900,261900,254000,257000,262900,246950,229999,229945,233524,230000,223845,241990,251444,251444,256995,250000,254990,249921,253989,240000,256945,256945,259900,269900,294450,277990,275000,278495,279900,278995,282450,289900,292400,285995,289445,284000,285000,289900,314950,319900,299990,299999
"78660","Pflugerville","TX","Austin-Round Rock","Travis County",9,209545,198750,198500,198750,2e+05,199000,193000,186995,199495,207990,208745,204329,202990,199317.5,194900,189150.5,191990,194440,193900,190255,182000,181517,179000,179010,179990,179990,186200,186990,189900,193652,199000,199990,199964,204990,205000,212995,215000,219999.5,220990,224995,230492.5,236995,236899,240447,245009,246149,237574,240995,257469,266032.5,260900,264900,267649.5,273088,273256.5,269424,268559,264052.5,272854.5,288855,296535.5,298990,307990,313990,317617.5,324766.5,319990,319990,324024,318625,319900,324990,314025,275990,286220,303408.5,324945,324900,299943,304990,307956,305301,308900,304990,298606,296900,295393,304990,319685,321085,324582.5,314944.5,299990,304990,302675,300495,302950,307776.5,303990,304698,305000,308990,312990,307990,302161.5,299970
"60647","Chicago","IL","Chicago-Naperville-Elgin","Cook County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612500,679000,679000,679000,654950,649900,687500,699000,699000,699000,699000,713900,719000,729000,729000,725000,689000,622450,609950,656950,675000,729000,759900,725000,734450,750000,714944,714944,725000,715000,699444,689000
