"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495000,1524000,1546500,1545000,1462500,1475000,1511500,1399750,1550000,1550000,1550000,1512450,1562500,1599450,1549000,1499900,1509950,1499900,1499000,1520000,1510000,1499000,1522250,1522250,1497900,1450000,1450000,1479000,1487000,1499250,1499999,1499000,1512449.5,1499500,1499500,1582000,1589000,1672000,1659500,1550000,1499500,1457500,1373000,1325000,1373000
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris",2,424065.5,420767,441712.5,425000,428990,420833.5,416120.5,405600,389950,388665.5,387950,392420.5,386436.5,380102,391000,389999,388495,389000,397681,389000,394231,394998.5,386096,389248,389574,399828.5,419840,420649.5,420900,418836,409900,420767,420900,423700,412000,429450,426369.5,429900,428119.5,440000,460949.5,450000,450000,447900,450890,458900,466235,470000,497900,499940,525000,539904.5,539909,536450,540778,543490,547710,539900,540389,533990,527462,530871,535243,542007,528481,524999.5,509995,492337,502242.5,499999.5,477490,469900,501079,472450,480000,492000,489900,489000,482900,484064.5,489900,480000,473250,475000,484038.5,495000,499250,499900,5e+05,519900,519900,495000,481487,483995,479900,499900,509000,524900,519994.5,522350,529900,515463,499950,510000,499000
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2599999,2750000,2422500,2695000,2695000,2599500,2345000,2499999,2472500,2370000,2295000,2195000,2195450,2195000,2172500,2262000,2325000,2545000,2397450,2295000,2297000,2497000,2497000,2395000,2335000,2295000,2295000,2500000,2650000,2562500,2795000,2697500,2650000,2650000,2524500,2395000,2422000,2249000
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949000,924500,899900,924500,937500,937500,884000,874500,937500,850000,975000,920000,925000,859999.5,850000,849000
"78660","Pflugerville","TX","Austin-Round Rock","Travis",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364990,359450,372727,372000,372000,366580,359400,359990,369950,374120,373250,372443,371292.5,364495,358990,339995,329990,339500,323490
"60647","Chicago","IL","Chicago-Naperville-Elgin","Cook",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499000,489000,494450,509900,499900,475000,489949.5,479999,469000,472000,457000,489000,485000,522000,559800,550000,542000,499000,544500,550000,550000,529000,529999,524900,549500,549000,549500,549000,549000,589900,559500,554750,589500,625000,622000,632450,611000,624500,649999,679999.5,665166.5,635000,665000,727000,649000,649000,637000,625000,627000,632000
"60618","Chicago","IL","Chicago-Naperville-Elgin","Cook",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574950,515000,489000,520000,524950,575000,562500,575000,605000,649900,654450,675000,674850,677000,649500,659900,642000,645000,625000,680000,699000,725000,695000,699000,765000,739500,739499.5,699000,659000,639500,639000,659000,662000,679900,685000,749000,769900,737000,725000,712400,679000,674900,634950,629950
"77573","League City","TX","Houston-The Woodlands-Sugar Land","Galveston",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425109.5,407445,403990,389500,395500,386745,386745,389500,386745,413329.5,419990,419990,413494.5,417329.5,419990,413500,415466,414490,411990,401990,401990,399995,406990,422990,435033.5,419990,431990,409900,407945,422490
"78130","New Braunfels","TX","San Antonio-New Braunfels","Comal",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291000,276447.5,269565,271947.5,269900,282000,265990,262697.5,262695,263015,264400,266312.5,263199,259400,259900,260900,260445,263400,262945,264900,268400,269650,271900
"30349","Riverdale","GA","Atlanta-Sandy Springs-Roswell","Clayton",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269900,254990,259990,264728,272354,274708,264728,265087.5,250995,237990,237495,233990,230000,224995,234900,239900,239900,239900,220000,238900,230000,230000,234900,239999.5,238449.5,245500,230417.5,233695,231690,231690,235000,242322.5,243822.5,244645,237900,249900,269900,259450,256900,254995,237990,240990,241945,243045,243990,249990,267900,267900,273360,267776,268982.5
