"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"79936","El Paso","TX","El Paso","El Paso County",1,87500,87500,87889,87500,85000,83950,84000,86000,87893.5,87900,87888,87888,87888.5,79900,85200,83460,85900,85990,85995,85945,85297,84900,85000,85900,85900,84750,84000,84000,87525,84950,84950,84975,84900,84900,85594,85000,85297,85297,85000,87862.5,87887.5,87887,87889,87887,87888,87887,87887,87838,87250,85000,83950,86229,85693,86250,86500,85963,85963,85958,83200,85886,87887,87838,85750,84950,85000,85000,85443,85886,84900,85000,87000,85893,87200,86500,86000,87000,87369,87838,85000,85000,85000,83500,83000,80662.5,80662.5,80662.5,81250,84000,84120,85878,87888,87888,86750,87888,86500,87888,87888,87900,87500,89900,90846,89000,89800,89700,91500,94950
"77449","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",2,94900,93500,94900,94900,94000,94000,93900,92900,94495,92900,92000,89900,88000,85000,85750,87200,87500,89000,88000,89900,88500,85000,84900,84900,84900,84900,84900,82500,84000,82600,84900,84500,86000,86000,89000,89000,89900,89000,87500,89900,89900,90000,89945,92250,95000,97800,97850,99950,99900,95500,97800,97450,99900,105000,104950,104000,1e+05,95000,98250,105000,105000,112500,114947,111500,112000,113999,113500,118000,115000,118000,118000,120950,119700,117950,124900,124100,125000,125000,127500,125000,124700,126500,125000,120000,121250,125000,132450,139000,139900,139900,139400,138445,138950,139400,139900,143900,144450,139900,140000,142443,145000,145000,149000,149450,149990,149000
"77084","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,89900,89450,93000,95000,95000,97010,95000,95750,94900,91950,91000,87900,87115,87000,86349,87000,89000,89900,89900,89000,87900,86200,85000,87900,87000,84900,82900,84250,83950,82000,79999.5,83500,82245,84150,85000,85000,84900,86700,87900,87000,87000,89995,90650,94900,95000,94900,99700,95000,99000,1e+05,104000,98000,99995,104950,104900,102900,103400,99950,103400,103400,103000,103995,99999.5,106750,116700,117200,114900,115950,115950,119900,119900,118250,119000,120000,125000,124450,125000,125000,129450,128500,127500,130000,130000,134500,134000,130000,130000,134500,135000,135700,135700,139600,139900,129900,115250,120000,125000,129950,135000,139500,145000,145000,145000,147900,145450,145000
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,125000,125000,125500,127000,122900,118000,118450,116500,111000,109450,105000,109000,114950,101000,101000,1e+05,95000,96450,92000,92000,89000,84900,84900,84950,79900,79900,80000,79900,79900,84900,84950,83900,89900,89900,80000,85000,82500,87500,82250,89900,94900,85700,89900,83900,83900,92450,99450,99000,90000,92450,97500,99900,99700,100450,101000,99900,108500,107000,106000,104950,110000,107000,109000,109000,111800,108450,104900,105000,109450,102450,101000,109000,106900,113400,114900,109950,111200,115000,124700,123750,124950,125000,123000,125000,118500,121000,119000,119450,119900,125000,124900,128000,128750,129000,126900,126900,129500,126450,125000,133000,126000,129700,129900,129900,139900,130000
"37013","Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",5,99250,98000,99900,99999,99900,95000,96400,95200,95000,97825,91050,90000,89900,87500,89900,89900,89900,89250,85000,83500,84400,84900,79900,79900,79000,77450,74947,77000,79998,78500,79000,79900,79900,81900,79500,84900,79900,80000,79900,78450,79950,81900,84000,83900,84900,85500,84900,85000,89900,89900,90150,89900,90650,94000,1e+05,106550,1e+05,1e+05,98350,105000,109800,109950,109800,114500,117300,118050,114999.5,110400,117000,119900,114000,114500,119000,118900,126500,125450,122900,125000,132000,133900,135000,139940.5,140507,139755,134971.5,138497,140000,147900,149934.5,149900,149900,149950,153900,155000,159900,159300,159900,160000,160000,160000,163990,164445,165000,168900,173353,175000
"32162","The Villages","FL","The Villages","Sumter County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,179950,180500,179900,179995,184900,183900,184900,184500,183700,186500,184900,185000,184390,185000,186500,189000,189000,189800,189000,189350,185000,185000,187777,187500,184500,186250,186200,184900,184900,189900,189900,189900,195750,189900,197000,197250,199900,199900,199900
"11375","New York","NY","New York-Newark-Jersey City","Queens County",7,229000,224900,219000,219000,219000,218000,215000,215000,209000,209000,209000,208444,209000,205000,209000,205500,208000,205000,205000,207000,208000,208500,205000,199000,199000,205000,205000,209000,205000,199000,199000,199000,199000,199000,199000,199000,195000,198000,196750,199000,199000,199000,199000,198000,199000,199000,199000,199000,204999,209500,199999,199000,205000,209500,208500,210000,215000,215888,217000,219000,219000,218500,219000,222500,220000,224900,224950,224950,224950,224900,225000,239000,239999,239000,239000,240000,245000,249000,249000,251000,249000,256500,255000,250000,250000,259000,252000,259000,259000,268000,269000,268000,268000,267000,267000,269000,269000,266000,269000,275000,279000,275000,269000,269000,269000,269000
"11235","New York","NY","New York-Newark-Jersey City","Kings County",8,189000,189000,189945,199000,199000,199000,192499.5,196500,192999,189999.5,189000,191499.5,189000,189000,189000,185000,179000,179000,179999,185000,185000,183900,189000,189000,187000,185000,183950,184000,179999,179999,179000,179000,184888,184500,179000,180000,185000,186500,185000,185000,179000,176500,180000,184900,175000,189000,183750,179900,189000,189000,189000,189000,189000,189000,185000,185000,185000,184500,189000,189000,189000,189000,189000,195000,199000,199500,205000,2e+05,199500,202500,210000,214995,212497.5,205000,199000,199000,2e+05,205000,201500,224750,217000,208500,201500,2e+05,205000,209500,242500,249999.5,249000,249000,249500,262500,259000,254500,259000,251750,252500,250000,249950,259000,262450,264950,264950,265000,262000,259000
"78660","Pflugerville","TX","Austin-Round Rock","Travis County",9,135000,135000,135200,137000,137500,137000,135000,134076,135000,134968.5,135000,132793.5,132793.5,133000,132500,129995.5,129998,134000,129990,129000,127995,126000,125000,125000,128500,128500,126000,127500,127745,129900,130000,130000,129900,128700,126500,129900,133990,134445,131000,135000,139900,139900,139250,139900,139900,140000,142500,137500,139200,149000,149000,149900,154900,149900,153000,154000,155000,159900,164000,158250,164999,164900,161500,165000,163825,159975,170000,174990,175000,180000,179900,180000,179945,179950,185000,185000,185000,190000,194900,195500,199249.5,198950,197950,199000,2e+05,2e+05,209900,209250,208095,209500,206950,205875,207000,204945,210000,209995,212945,219900,221995,220522.5,224900,225000,225810,229000,227990,229900
"37211","Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",10,90000,89900,90000,94900,89900,80950,89250,80500,84950,86200,80910,79950,79900,85000,85250,89657,89900,89900,87400,79900,80000,79900,79900,79900,83250,77950,75000,79700,79900,75000,74450,80900,79900,79900,78160,76000,77700,78700,79200,79998.5,81000,81000,81000,82000,84700,83000,81000,81000,81000,81000,88450,94900,94900,95000,101900,99200,98200,94900,85000,88972,96000,107900,117900,119450,119000,113900,109900,105999,112000,114750,109950,111000,112000,121500,125000,125000,123450,124950,134900,129999,129949.5,129950,128400,121500,124400,139000,132450,136900,149000,139000,139000,142450,145900,148500,147450,144950,150000,150000,145000,150000,165000,159900,150000,168400,159900,160000
