"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook",1,239900,239000,239900,235000,226750,224900,225000,225000,220000,215000,215000,214000,208000,2e+05,199000,199000,199000,195000,194949.5,194900,194950,190000,189900,195000,185000,188250,189000,189000,189000,185000,185000,184900,179900,184000,184900,185000,189900,198000,192000,195000,195000,195000,195000,194950,199950,199450,197450,195000,194950,2e+05,204950,208250,209900,213700,214950,215000,214000,209900,209900,209000,215900,219000,219900,219900,224000,224999,224900,224000,220000,220750,224900,224900,221500,219950,224699.5,224900,219900,219900,220000,224500,225000,219000,217450,219900,229000,235500,231200,229000,228250,239000,239999,239900,239000,237000,235000,235000,235000,235000,240000,248200,249000,247500,247500,248450,249000
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris",2,176376,176900,179617,182700,182445,181500,179900,178000,175000,175000,174900,174900,173995,173764,171900,169900,169900,172500,174700,174700,172425,174900,172945,171970,174900,174945,174295,174990,176530,176052.5,175950,177537,179900,179900,180000,182000,184900,180000,180975,182990,185000,189900,189725,185500,194900,190000,179900,185000,192000,197500,195000,190000,194950,199900,195450,197500,193500,2e+05,210000,215000,209490,213450,217990,216000,215245,219000,219445,223474,220000,225000,227800,229450,228557.5,229000,228995,228995,234999.5,235000,230000,235000,235000,237000,236247.5,239000,239000,240495,240000,240000,240000,239995,240000,239950,240000,244997.5,245000,239990,245247.5,247500,249000,249945,249900,249000,249900,247995,246995
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook",3,227000,225000,225000,225000,219950,219500,219500,219900,219000,219000,219000,215000,209950,209450,204500,215000,215000,212450,202500,199950,199950,199900,198000,190000,189950,195000,195000,199000,199000,196000,199000,192500,192000,192000,189500,186000,189000,185000,195000,198950,199000,199000,196200,199450,209000,214000,209900,209900,216750,212450,219000,224000,228750,224900,225000,224900,220000,217000,221450,220000,229900,230250,229999,226000,225000,222950,225000,225000,225000,219950,219950,229900,229999.5,225000,225000,229999,235000,239900,239900,239000,235000,234900,229900,229950,239900,239900,249000,249000,244900,249000,245000,240000,239450,240000,234900,235700,230000,239900,249900,259000,255000,255000,249900,255000,250000
"79936","El Paso","TX","El Paso","El Paso",4,124000,122450,123000,120000,120950,120000,119900,120000,119900,119950,119770,119500,119500,119900,118975,117500,119000,120000,119900,119000,119900,119900,119900,119900,119500,117000,118900,118500,117000,119000,119950,117950,117200,115000,114900,113950,113975,115000,116225,116950,117000,118000,117000,118000,118500,118000,119500,118000,118000,117900,118950,119500,119500,120000,119500,119635,119900,119500,118975,118500,117000,116000,116750,115000,115000,116475,116975,118500,118900,117500,115950,116000,115900,116000,117450,118000,119900,118500,120000,120000,120000,119900,119950,120000,120000,120000,120000,121500,123000,124878,124000,125000,125000,124950,124289,124900,124950,124950,123700,125770,125900,129900,129950,129887.5,129000
"77449","Katy","TX","Houston-The Woodlands-Sugar Land","Harris",5,134900,135000,136552.5,137900,135950,135950,135000,135000,134994.5,134500,135500,134900,134500,134144,133970,134288,132995,133992.5,133995,134900,134000,134970,134895,134900,135000,135000,134000,136900,137000,134950,135000,135247.5,135497.5,137500,138000,139970,141647.5,144900,145495,147783,147641.5,148322.5,149500,152938,155000,158990,159900,160495,163950,163465,162990,164180,164296.5,163950,164900,165000,169900,173195,173290,176900,179900,179900,175495,176475,175000,175000,180000,180000,182450,185000,184997.5,186500,185315,185000,187415,186700,185900,185900,185000,184700,183000,183000,184997.5,186990,184900,185000,187840,189992.5,192595,194500,193500,194090,191990,194745,195000,197570,199900,199900,2e+05,200495,200495,199990,207000,207250,205000
"77084","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",6,140000,139999.5,139900,138990,139999,139900,139900,139000,139900,139900,139995,139990,138900,138000,139440,138000,137950,135900,135000,135000,130000,134900,134900,134900,134900,134900,134972.5,134700,134900,134900,138000,136495,135845,139000,139000,139500,139900,139725,140715,144900,146500,145000,146000,149800,149900,149900,149900,152100,159900,160000,159900,150480,149999,150000,149900,154900,154400,157500,160989,166000,163950,160000,159900,160000,164494.5,165000,169900,169900,170000,178000,178995,180995,178000,179700,179995,185990,189900,189900,189900,189000,188476.5,188750,187497.5,188990,189245,189695,190090,194450,194900,195900,196250,199900,195900,196200,197000,199900,199900,199000,199870,198450,199000,197250,199900,199000,199000
"10467","New York","NY","New York-Newark-Jersey City","Bronx",7,420000,420000,424990,425000,424995,424990,427000,424990,424990,429000,435000,427000,424945,420000,390000,389000,399000,399000,399000,398000,398000,396500,398500,399000,396500,395000,385000,385000,379000,379000,379000,379000,379000,379000,379000,379000,399000,399000,399000,399000,399000,399000,399000,399000,399000,399000,399000,399000,339000,339000,339499.5,389000,379000,379000,397000,399000,459000,459000,459000,459000,439000,450000,450000,439000,439000,459000,459000,459000,459000,459000,449000,427000,443000,437000,449000,435000,425000,425000,442500,459000,475000,479000,449000,465500,499000,479000,449500,450000,459000,459000,460000,464000,459000,459000,450000,457400,459000,459000,459000,479000,483000,477000,477000,459000,459000
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook",8,224900,224900,224900,224000,220000,219000,219000,215000,215000,209250,209000,204000,199900,199000,198950,195000,192399.5,189000,189900,195000,195000,189999.5,189900,189000,185000,179900,183450,179000,179700,179000,179900,179900,175000,179000,179900,174900,175000,179000,179000,179900,184900,185000,180000,179000,179900,196500,194450,185000,190000,194000,199900,199900,204900,204900,209450,205000,209904.5,209900,209900,199950,199000,199900,209900,209900,199900,2e+05,210000,210000,209450,204999.5,199700,199700,199900,199900,209900,216999.5,219900,219900,221750,220000,219000,214900,214900,214900,214000,215000,218750,224700,220000,225000,225000,219900,216000,215000,216250,225000,229900,235000,239000,239900,237500,235000,235000,235000,239950
"11226","New York","NY","New York-Newark-Jersey City","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459000,465000,460000,467000,475000,480000,499000,504750,499000,499000,499000,499000,499000,499250,532000
"37013","Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson",10,154900,154900,154900,154000,150000,149900,149900,149000,149000,149900,149900,149466,149683,149450,149900,149900,145000,144900,145000,144900,143950,142243,142000,140000,142099.5,139900,141000,142000,140990,140000,142900,140000,139900,139900,140000,144750,144900,144900,142900,145450,145000,149900,154990,154998,155817.5,158250,159900,158900,159050,159900,164900,167450,167450,164900,164950,169737.5,169900,170000,177500,176000,180000,184948,199900,187900,185000,180000,184999.5,184900,195000,188900,189900,191335,199000,194625,192700,194990,199900,199900,199900,2e+05,206900,208900,212410,218900,221990,227990,227990,233995,239450,237450,238000,244900,239900,237990,239900,240000,239745.5,239000,239900,249000,249900,259900,259900,250000,249999.5
