"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"10025","New York","NY","New York-Newark-Jersey City","New York County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750000,1795000,1762500,1750000,1765000,1710000,1650000,1620000,1599500,1600000,1585000,1595000,1577500,1612500,1535000,1517500,1489500,1500000,1437500,1572500,1600000,1675000,1600000,1395000,1300000,1395000,1462500,1575000,1597000,1600000,1500000,1395000
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,477000,459995,449900,449900,449900,450000,450000,450000,439900,439000,439000,438000,432500,439949.5,439000,435000,439000,429900,439000,439000,429000,429900,447000,439450,439000,440000,449900,449000,439000,435000,435000,429950,449000,439900,439900,445000,448050,449000,449000,448700,459000,459000,450184,459000,470000,475000,449900,449900,465000,475000,457000,480000,488250,489950,5e+05,475000,499000,475000,475000,488700,479000,477000,474000,475000,514000,525000,509950,524900,537000,550000,550000,549950,549700,555000,550000,554500,566500,569900,585000,599900,625000,639000,660000,685000,699000,674000,650000,649900,654500,658400,629900,649000,649000,649000,649900,699000,679000,642450,615000,615000,637000,625000,625000,625000,625000,605500
"10023","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2618750,2675000,2600000,2595000,2500000,2600000,2585000,2510000,2500000,2600000,2595000,2635000,2660000,2510000,2495000,2500000,2595000,2522500,2555000,2535000,2595000,2677500,2695000,2350000,1947500,1950000,2275000,2250000,2225000,2287500,2300000,2200000
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",4,331126,320000,325990,323000,324900,327830,318919,316862.5,309900,308112,306945,308118,303870,305000,306170,314900,311900,310000,315340.5,314490,299900,299900,299900,305487,304990,299900,307108,303990,309559.5,308836,305990,313696,311268,314695,315000,313140,318982.5,323400,335000,333903.5,335990,341970,339900,340225,348945,350000,349554,352950,351476.5,360000,374500,379900,375000,374945,379900,379995,376846,380990,390136,399990,404495,399000,399900,401205,399990,396063.5,399900,394501.5,398824,398000,396945,394990,396990,385600,386092,385495,389900,390000,387999.5,389900,389900,389997.5,385000,389499,393990,395565,395000,399000,399950,399990,399900,395900,395000,397456,395000,397940,395990,399000,399000,4e+05,399900,395000,396997.5,399149.5,399500,399900
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",5,575000,549000,525000,515000,525000,549000,549000,562262.5,536950,530000,539000,549900,549900,549000,529900,535000,525000,524900,524900,524900,540000,549999.5,559900,550000,560000,579000,574500,589000,559000,575000,589000,614500,619000,625000,649900,624950,627000,624000,585000,589000,599000,575000,570000,574000,639000,599900,607000,629000,599900,579000,549900,559450,559000,569000,574900,575000,599000,599000,629000,650000,699450,650000,650000,650000,649000,649000,649900,650000,699000,679000,695000,686000,690000,724700,679200,675000,690000,725000,737000,749900,749000,775000,799000,825000,799000,8e+05,777500,750000,750000,750000,750000,760000,765000,775000,882400,895000,899000,849950,799000,825000,849000,802500,799000,799000,799900,805000
"79936","El Paso","TX","El Paso","El Paso County",6,198125,206000,199800,198000,199600,199000,194449,190000,194224.5,194974.5,199700,205000,199950,199950,199900,199000,195000,189900,189500,189950,189000,187995,183600,187700,189500,188445,190700,190000,191500,194500,194500,189000,200500,199900,199900,199900,194900,190400,195900,193975,205000,199500,195000,194500,194250,189925,190000,190000,190000,189975,185500,189900,192200,190000,192200,199932.5,194650,194800,199000,192525,192512.5,192350,189990,189990,191700,192762.5,197000,197750,199900,190000,199000,199000,192762.5,189000,199000,199475,197000,195000,194950,191000,185000,184950,185000,183750,185000,185000,185000,189000,185125,199000,199900,199305.5,199770,199000,199125,205900,205000,204000,204000,209000,209999,212500,219500,210000,219750,220000
"77084","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",7,230000,229450,225000,229000,229500,229900,232900,236900,229900,229900,230972.5,230955,227990,228495,227990,226500,225990,229000,224995,223450,219999,219950,223500,222791,227950,229950,227450,227000,229000,229900,230000,229000,240000,238856,242953,250543.5,249900,245990,238000,237990,235000,233990,233990,233990,240000,243990,246990,246990,251000,256990,253495,255615,252497.5,250402,250151,255000,264900,255067,264999,275000,275000,270000,277969.5,284500,275000,282000,285000,285000,285000,267727,277250,299900,298900,289900,289900,285000,279900,283950,279900,282487,288500,279950,289700,289900,296509.5,288777,299900,299950,298900,298950,290000,286402,284900,288000,293765,288162.5,288000,289945,291460,309900,304949.5,299999,303322.5,302000,3e+05,304352
"10002","New York","NY","New York-Newark-Jersey City","New York County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700000,1637500,1700000,1463500,1538500,1530000,1312000,1288000,1299500,1288000,1307500,1315000,1475000,1455000,1505000,1520000,1574500,1580000,1598000,1661500,1600000,1599000,1600000,1600000,1640000,1630000,1681500,1650000,1640000,1580000,1600000,1610000,1612000,1580000,1567000,1568500,1567000,1589000
"10467","New York","NY","New York-Newark-Jersey City","Bronx County",9,559000,559000,559000,569000,567000,567000,564000,569000,550000,547000,549000,550000,549000,549000,549000,530000,549500,549000,549000,549000,549000,549000,549000,549000,529000,529000,547000,545000,549000,545000,549000,549000,545000,545000,545000,549000,549000,549000,529000,529000,529000,529000,529000,529000,529000,529000,529000,529000,529000,529000,529000,529000,529000,549000,548000,550000,589000,609000,599000,599000,599000,574999.5,549000,550000,534500,549000,549000,549000,549000,549000,575000,549000,549000,575000,595000,589000,599000,599000,599000,594000,599000,599000,579000,599000,599000,599000,599000,599999,649000,659000,669000,669000,699000,710000,679000,699000,699499.5,699000,692000,699999.5,699499.5,720000,710000,7e+05,684950,699250
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook County",10,361999.5,364000,355000,355000,350000,349900,349949.5,349900,349000,349000,339900,339400,329900,324900,319900,318000,314863,309900,309450,314863,314863,319000,324900,325000,314950,299900,309000,315000,319900,324900,325000,324900,325000,325000,329950,317450,3e+05,302000,315000,325000,335000,329000,340000,339000,349900,339900,349500,347000,349875,349900,349950,350000,365000,369000,365000,367000,372500,368250,375000,369450,359450,355000,369900,374950,379000,390000,389900,375000,387000,402500,419000,429900,410000,419500,412000,415000,427500,434950,425000,443500,450000,419000,425000,460000,455000,450000,425000,425000,429000,439000,449000,450000,464500,475000,475000,479000,474950,459000,425450,434000,449000,445000,449900,459000,449450,449000
