"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"10025","New York","NY","New York-Newark-Jersey City","New York County",1,,,,,,,,,,,,,2800,2925,3125,3000,2995,3000,3000,3000,3195,3200,3000,3142.5,3400,3500,3500,3500,3300,3300,3400,3200,3200,3200,3100,3200,3295,3225,3250,3265,3300,3300,3350,3350,3350,3295,3500,3400,3670,3750,3700,3574.5,3599,3500,3499,3400,3499,3500,3450,3400,3500,3650,3600,3500,3625,3795,3500,3600,3500,3500,3400,3500,3547.5,3500,3500,3495,3500,3500,3500,3500,3495,3400,3400,3395,3500,3500,3650,3525,3600,3581,3500,3500,3570,3525,3500,3500,3500,3500
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,,,,,1595,1566,1600,1600,1600,1685,1675,1600,1695,1700,1700,1695,1662.5,1600,1600,1600,1647.5,1695,1700,1695,1795,1800,1820,1800,1795,1750,1650,1700,1700,1795,1795,1762.5,1800,1825,1900,1850,1800,1800,1795,1725,1750,1760,1775,1770,1750,1795,1775,1750,1795,1795,1750,1800,1795,1800,1820,1830,1800,1800,1800,1800,1852.5,1850,1895,1895,1850,1900,1900,1860,1897.5,1875,1800,1800,1900,1950,1975,1900,1935,1950,1925,1920,1895,1850,1850,1800,1850,1900,1950,1950,1945,1925,1955,1905,1850,1800
"10023","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5110,5200,5095,5100,5000,5195,4950,5000,5372.5,5200,5000,4950,5000,5079,4900,4950,5000,5000,5000,5000,4925,5000,4900,4600,4950,4900,4800,4881.5,4796,4800,4900,4885,4900,4950,4937.5,4900,4850,5000,5100,5000,4950,5105,5300,4950,4800,4925,4996,4950,5000,5000,5000
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1466,1466,1486.5,1482,1443.5,1430.5,1425,1439,1436,1675,1562.5,1450,1547.5,1528,1582,1550,1552.5,1560,1489.5,1437.5,1539,1501,1459.5,1526.5,1600,1604.5,1590,1627.5,1610,1639.5,1634.5,1650,1645,1656,1656,1635,1650,1619,1600,1620,1630
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",5,,,,,,1700,1700,1650,1660,1725,1785,1800,1817.5,1900,1900,1950,1950,1875,1800,1865,1895,2000,2045,2275,2300,2400,2300,2355,2200,2100,1860,1975,2000,1995,1975,2050,2100,2100,2200,2200,2197.5,2100,2075,1995,1899,1982.5,2000,1995,1995,1995,2100,2095,2100,1995,1821,1975,1995,1995,1950,1995,1999,1999,2100,2029,2050,2205,2192.5,2055,2000,2050,1992.5,1995,1999,2100,1950,2000,2000,2050,2050,2075,2080,2050,2075,2010,2010,2000,2010,2050,2100,2050,2100,2150,2100,2100,2100,2095,2000,2000
"79936","El Paso","TX","El Paso","El Paso County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765,765,765,765,773,775,795,803,803,845,850,850,853,850,800,840
"77449","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170.5,1175,1310,1305,1310,1360,1399,1355,1414,1414,1360,1450,1450,1445,1310,1360,1360,1310,1165,1105.5
"77084","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186,1193,1186,1187,1169,1277,1143,1169,1152,1152,1115,1058,1165,1183,1116,1139,1166.5,1196,1228,1265,1186,1190.5,1240,1191,1145,1247,1321,1304,1316,1333,1314,1315
"10002","New York","NY","New York-Newark-Jersey City","New York County",9,,,,,,2595,2595,2600,2675,2750,2725,2850,2850,2995,3100,3300,3200,3000,3100,3000,3095,3095,3000,3045,3100,3195,3100,3099,3100,3100,3195,3200,3200,3272.5,3200,3112.5,3100,3099,3100,3100,3100,3100,3100,3150,3200,3235,3195,3200,3200,3137.5,3250,3262.5,3150,3200,3250,3300,3295,3300,3297,3295,3295,3254,3295,3200,3300,3395,3400,3295,3300,3450,3204,3295,3300,3199,3368.5,3199.5,3200,3300,3300,3300,3400,3400,3295,3272.5,3250,3200,3100,3095,3100,3074.5,3200,3285,3262.5,3250,3262.5,3371,3350,3400
"10467","New York","NY","New York-Newark-Jersey City","Bronx County",10,,,,,,,,,,,,1425,1400,1400,1400,1400,1400,1350,1400,1397.5,1400,1400,1400,1450,1400,1450,1395,1475,1462.5,1400,1450,1450,1460,1500,1500,1500,1490,1475,1450,1450,1450,1450,1450,1450,1495,1400,1450,1450,1450,1430,1475,1500,1500,1500,1500,1500,1500,1500,1530,1500,1500,1515,1500,1500,1500,1547.5,1550,1600,1575,1592,1600,1595,1650,1600,1650.5,1650,1650,1650,1694,1695,1695,1725,1750,1750,1700,1700,1795,1797,1750,1750,1800,1800,1775,1800,1800,1800,1800,1800
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook County",11,,,,,,1300,1295,1302.5,1305,1395,1305,1325,1350,1350,1310,1350,1395,1395,1350,1395,1395,1400,1450,1495,1495,1477.5,1450,1450,1450,1425,1402.5,1400,1450,1500,1500,1500,1520,1495,1475,1475,1495,1475,1495,1495,1500,1500,1525,1550,1550,1500,1500,1495,1497.5,1500,1475,1500,1550,1500,1550,1595,1600,1560,1512.5,1500,1525,1525,1595,1550,1595,1595,1525,1550,1595,1550,1500,1545,1600,1600,1695,1650,1650,1600,1600,1625,1600,1585,1550,1550,1600,1650,1650,1670,1650,1650,1650,1650,1625,1628
"94109","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3997,3800,4080,4282,4400,4500,4500,4450,4625,4650,4700,4700,4675,4600,4500,4600,4550,4650,4600,4600,4600,4700,4650,4687.5,4650,4775,4675,4697.5,4695,4800,4800,4800,4750,4750,4650,4650,4800,4750,4650,4600,4700,4595,4650,4495,4597.5,4700,4650,4650,4495,4450,4400,4350,4352.5,4387.5,4390,4495,4450,4375,4195,4350,4450,4495,4500,4500,4400,4400,4600,4750,4750,4672.5
"11226","New York","NY","New York-Newark-Jersey City","Kings County",13,,,,,,,,,,1575,1550,1550,1550,1500,1500,1562.5,1625,1500,1499,1500,1500,1600,1572.5,1600,1600,1600,1550,1550,1599,1500,1650,1650,1700,1708,1700,1750,1800,1800,1700,1750,1800,1800,1799.5,1800,1800,1850,1900,1900,1900,1900,1875,1850,1895,1899,1900,1900,1950,1950,1975,2000,2000,2099,2000,2000,1999,1975,1995,2000,2000,2100,2100,2000,2100,2250,2150,1975,1995,1950,1975,1995,1999,2000,2000,2150,2100,2095,2016.5,1995,2075,2100,2100,2100,2100,2154,2215,2300,2275,2200
"10016","New York","NY","New York-Newark-Jersey City","New York County",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4611,4550,4530,4599,4599.5,4500,4458,4550,4700,4502.5,4500,4295,4295,4300,4295,4400,4500,4395,4481,4295,4200,4295,4250,4100,4272.5,4297.5,4250,4200,4200,4200,4250,4250,4250,4295,4200,4143,4195,4250,4300,4220.5,4295,4347.5,4500,4295,4300,4495,4200,4200,4295,4295,4300
"37013","Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1093,1114,1123,1095,1080,1085,1093,1075,1150,1120,1065,1005,1034,1036,1068,1082,1127.5,1100,1058,1098,1125,1110,1110
"11375","New York","NY","New York-Newark-Jersey City","Queens County",16,,,,,,,,,,1999,1962.5,1975,1850,1850,2000,1995,2032.5,2100,2025,1950,2000,2000,2100,2195,2162.5,2050,2100,2100,2080,2100,2149,2150,2150,2250,2295,2325,2350,2300,2395,2395,2350,2350,2300,2300,2395,2350,2395,2395,2400,2400,2400,2450,2395,2395,2395,2500,2500,2415,2415,2495,2400,2450,2500,2495,2450,2500,2495,2495,2400,2400,2375,2500,2500,2500,2500,2495,2499.5,2500,2500,2500,2400,2450,2400,2400,2400,2395,2395,2397.5,2400,2462.5,2395,2495,2400,2395,2495,2450,2450,2425
"11235","New York","NY","New York-Newark-Jersey City","Kings County",17,,,,,,,,,,,,1675,1700,1725,1725,1650,1650,1650,1600,1625,1700,1652.5,1650,1700,1700,1700,1725,1800,1800,1800,1825,1795,1800,1800,1800,1850,1800,1800,1800,1825,1850,1800,1800,1800,1800,1850,1895,1900,1900,1900,1900,1900,1900,1900,1900,2000,2100,2200,2000,2025,2200,2197.5,2122.5,2147.5,2100,2050,2025,2050,2100,2125,2125,2100,2075,2150,2225,2200,2250,2200,2200,2200,2280,2250,2300,2299.5,2212.5,2225,2275,2262.5,2250,2200,2200,2225,2200,2290,2250,2250,2220,2250
"78660","Pflugerville","TX","Austin-Round Rock","Travis County",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195,1109,1125,1167.5,1155,1160,1160,1190,1210,1170,1201.5,1264,1264,1217,1212,1259.5,1275,1275,1269.5,1249,1230,1264,1269.5,1275,1075,1075,1197,1115,1152.5,1070,1204,1204,1264,1283,1300,1400,1355,1324.5,1318.5,1347,1305,1480,1315,1375,1407,1400,1400,1395,1375,1400,1349,1395
