"RegionName","City","State","Metro","CountyName","SizeRank","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"10025","New York","NY","New York-Newark-Jersey City","New York County",1,,,,,,,,,,,,4037.5,4200,4137.5,3997.5,3600,3790,4037.5,3995,4225,4275,4395,4100,4100,4200,4200,4200,4200,4255,4550,4700,4700,4500,4500,4500,4500,4500,4400,4425,4395,4250,4000,4300,4400,4340,4382.5,4392.5,4495,4495,4372.5,4225,4500,4500,4500,4500,4500,4450,4500,4750,4672.5,4297.5,4450,4500,4397.5,4500,4325,4300,4300,4300,4325,4300,4395,4395,4395,4500,4400,4400,4295,4500,4550,4395,4500,4400,4462.5,4440,4362.5,4297.5,4250,4295,4449.5,4473.5,4350,4498.5,4397.5,4496,4495,4496.5,4500,4400,4295,4197.5,4300,4300,4285
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,,,,,,,,,,,2200,2295,2300,2200,2200,2345,2350,2380,2495,2450,2400,2225,2425,2400,2385,2300,2300,2460,2450,2575,2500,2700,2650,2575,2550,2562.5,2300,2500,2595,2600,2600,2495,2495,2400,2400,2395,2400,2495,2495,2500,2600,2600,2550,2500,2500,2495,2495,2500,2500,2500,2395,2500,2600,2600,2600,2500,2495,2420,2400,2495,2500,2650,2600,2600,2697.5,2675,2695,2600,2600,2538,2400,2550,2500,2510,2695,2645,2695,2700,2695,2700,2597.5,2500,2455,2495,2500,2595,2600,2600,2670,2600,2600,2500,2500,2400
"10023","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7975,7800,7500,7563,7700,6995,6500,6749.5,6995,6900,6995,6999,6995,6999,7291.5,6995,6895,6995,7000,6900
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1650,1650,1650,1650,1675,1750,1800,1800,1850,1796,1750,1795,1800,1809,1823,1823,1823,1823,1823,1800,1800,1850,1850,1850,1850,1842.5,1850,1850,1829,1833,1833,1879.5,1875,1875,1850,1895,1900,1847.5,1832.5,1817.5,1850,1800,1800,1815,1800,1800,1850,1797.5,1800,1767.5,1700,1800,1750,1785,1750,1759,1769,1800,1802.5,1800,1800,1890,1850,1850,1855,1857,1889,1879,1890,1850,1869,1850,1800,1850
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",5,,,,,,,,,,,2400,2350,2350,2295,2175,2400,2495,2495,2495,2495,2500,2400,2499,2400,2400,2350,2400,2600,2600,2750,2700,2900,3000,2800,2700,2700,2400,2600,2600,2700,2650,2700,2550,2500,2525,2550,2645,2622.5,2600,2625,2695,2700,2700,2625,2525,2500,2700,2700,2800,2750,2450,2697.5,2790,2800,2795,2800,2800,2850,2800,2795,2850,2875,2950,2800,2800,2985,2872.5,2897.5,2800,2800,2812.5,2800,2695,2900,2897.5,2897.5,2950,2995,2850,2850,2800,2700,2695,2700,2750,2850,2850,2850,2850,2895,2800,2800,2850,2820
"79936","El Paso","TX","El Paso","El Paso County",6,,,,,,,,,,,,,,,1050,1050,1050,1000,1060,1097.5,1095,1000,1050,1050,1072.5,1125,1025,1100,1050,1050,1000,975,975,975,950,962.5,975,975,995,995,995,1000,1000,1000,950,995,962.5,950,950,950,950,975,950,950,950,965,995,1000,1000,1000,1000,1045,1035,1050,1050,1042.5,1040,1050,1037.5,1000,1000,1000,1000,1000,1000,995,1000,1000,995,1050,975,975,990,1000,1000,1000,997.5,1000,1000,1050,1025,1000,1000,1000,1000,985,1000,1000,1000,1025,1025,995,992.5,997.5
"77449","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",7,,,,,,,,,,,,,,,1100,1150,1150,1150,1175,1195,1150,1100,1150,1150,1162.5,1200,1200,1200,1200,1200,1200,1200,1200,1250,1200,1197.5,1250,1200,1262.5,1250,1250,1300,1300,1300,1300,1295,1300,1250,1229.5,1250,1324.5,1350,1350,1350,1345,1350,1350,1350,1350,1350,1350,1375,1395,1395,1397.5,1395,1375,1400,1395,1395,1375,1395,1395,1425,1380,1400,1439,1377.5,1360.5,1369,1370,1375,1350,1350,1375,1395,1400,1400,1400,1395,1395,1397.5,1400,1400,1400,1410,1425,1425,1450,1450,1450,1465,1492.5,1450
"77084","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",8,,,,,,,,,,,,,,,,,,,1200,1150,1150,1095,1065,1095,1100,1100,1125,1162.5,1200,1150,1148,1200,1250,1250,1263.5,1325,1251,1282,1385,1347,1375,1335,1335,1360,1335,1350,1424,1350,1335,1335,1300,1300,1350,1350,1345,1300,1345,1324.5,1322,1350,1350,1350,1390,1390,1400,1400,1400,1395,1395,1400,1375,1395,1395,1400,1400,1449.5,1400,1419,1395,1400,1395,1350,1395,1390,1400,1400,1400,1400,1400,1400,1400,1400,1399.5,1400,1400,1450,1450,1450,1495,1475,1450,1475,1499,1475
"10002","New York","NY","New York-Newark-Jersey City","New York County",9,,,,,,,,,,,,,,,,3497.5,3750,3750,3750,3870,3825,3685,3600,3747.5,3995,3995,4272.5,4197.5,4390,4572.5,4725,4250,4100,4050,4195,4200,4100,4000,4050,4200,4150,4150,4250,4297.5,4200,4200,4200,4295,4300,4350,4395,4295,4425,4497.5,4500,4445,4200,4200,4200,4400,4475,4375,4600,4675,4639.5,4675,4600,4500,4500,4540,4450,4400,4795,4697.5,4500,4872.5,4625,4750,4496.5,4922.5,4500,4550,4650,4495,4495,4492,4495,4497.5,4500,4550,4400,4172.5,4400,4450,4500,4500,4650,4672.5,4700,4589,4685,4650,4500,4500
"10467","New York","NY","New York-Newark-Jersey City","Bronx County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1950,2000,2000,2000,2100,2100,2000,1999,2000,2070,2150,2200,2160,2150,2150,2200,2175,2200,2300,2260
