"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"10025","New York","NY","New York-Newark-Jersey City","New York",1,,,,,2587.5,2600,2600,2750,2775,2750,2750,2800,2775,2775,2700,2695,2775,2800,2895,2800,2885,2800,2999,3109,3295,3125,2967.5,2983,3000,3100,3195,3200,3245,3200,3200,3200,3250,3200,3200,3250,3207.5,3250,3295,3250,3200,3194.5,3000,3173.5,3150,3100,3100,3100,3195,3194.5,3194.5,3100,3100,3095,3100,3150,3195,3195,3175,3150,3175,3177.5,3025,3025,3200,3200,3095,3202,3293,3200,3000,3200,3095,3100,3100,3100,3070,3200,3245,3295,3200,3100,3106,3150,3100,3050,3050,3133,3200,3225,3162,3115
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook",2,,,,,,1195,1175,1250,1350,1295,1275,1295,1325,1270,1285,1400,1490,1415,1450,1477.5,1600,1600,1500,1575,1545,1575,1500,1505,1525,1495,1535,1525,1500,1405,1465,1395,1350,1415,1400,1475,1495,1450,1495,1500,1500,1495,1425,1400,1525,1545,1545,1597.5,1530,1550,1645,1695,1750,1695,1525,1545,1475,1495,1475,1450,1505,1575,1575,1595,1650,1550,1460,1450,1497.5,1435,1450,1475,1525,1567.5,1550,1605,1622.5,1595,1575,1550,1550,1495,1500,1595,1564.5,1585,1595,1675,1675,1650,1540,1445
"10023","New York","NY","New York-Newark-Jersey City","New York",3,,,3000,2880,2912.5,2925,3000,3100,3100,3400,3195,3300,3140,3167.5,3295,3195,3200,3195,3200,3250,3295,3200,3350,3300,3309.5,3325,3200,3200,3100,3250,3195,3200,3300,3300,3399,3495,3500,3400,3400,3400,3400,3440,3450,3450,3495,3400,3500,3429,3400,3450,3385,3369,3447,3460,3495,3300,3300,3400,3434.5,3434.5,3300,3295,3300,3250,3272.5,3295,3345,3300,3238,3295,3200,3297.5,3350,3262.5,3200,3164,3240,3200,3200,3250,3299,3400,3309.5,3300,3420,3375,3323,3390,3350,3197,3200,3295,3297,3249,3195,3385
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook",4,,,,,1400,1445,1500,1500,1595,1550,1432.5,1532,1545,1650,1612.5,1600,1597.5,1600,1595,1717,1825,1782.5,1694.5,1645,1700,1694.5,1600,1694,1687,1694.5,1697,1845,1800,1815,1692.5,1665,1595,1665,1670,1750,1700,1650,1670,1644,1800,1750,1750,1800,1895,1951,1895,1935,1849.5,1700,1750,1895,2000,1895,1895,1800,1800,1900,1963.5,1890,1970,1900,1895,1900,1950,1816,1655,1700,1600,1650,1600,1655,1697.5,1750,1750,1812.5,1895,1950,1900,1875,1800,1800,1891,1850,1800,1850,1900,1950,1950,1900,1800,1725
"10002","New York","NY","New York-Newark-Jersey City","New York",5,,,,,,2375,2295,2299.5,2350,2395,2595,2485,2512.5,2525,2495,2497.5,2500,2500,2625,2600,2600,2600,2572.5,2572.5,2737.5,2800,2600,2595,2597.5,2650,2700,2750,2750,2775,2750,2750,2800,2790,2750,2750,2700,2795,2795,2795,2895,2950,3095,3050,3000,3075,3100,2995,3000,2995,2972.5,2900,3150,3150,3199,3300,3100,3096.5,3000,3100,3100,3083.5,2995,2997.5,3387,3098,3200,3295,3000,3200,2995,2900,3200,3062.5,3075,3200,3200,3200,3199,3100,2995,2950,2895,2860,2900,3000,3100,3200,3195,3208,3275,3250
"10467","New York","NY","New York-Newark-Jersey City","Bronx",6,,,,,,,,,,,,,,,,,,,,,,,1200,1200,1175,1150,1275,1300,1300,1250,1295,1283.5,1250,1262.5,1275,1250,1250,1200,1200,1249,1250,1250,1250,1200,1225,1250,1300,1300,1250,1285,1300,1300,1300,1300,1300,1325,1354.5,1400,1400,1400,1400,1400,1400,1400,1400,1450,1450,1450,1450,1450,1400,1450,1497.5,1495,1495,1450,1500,1499,1500,1500,1500,1500,1550,1525,1550,1537.5,1525,1550,1625,1600,1600,1575,1675,1700,1700,1612.5
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook",7,,,,825,837.5,916,875,847.5,820,845,825,800,800,895,885,985,995,995,1050,1050,995,1017.5,1095,1035,1150,1175,1145,1147.5,1141.5,1150,1100,1100,1100,1141.5,1130,1195,1160,1165,1150,1180,1160,1175,1175,1175,1175,1195,1195,1200,1200,1250,1200,1200,1200,1195,1195,1205,1225,1300,1295,1225,1295,1300,1275,1250,1295,1350,1325,1300,1300,1285,1195,1225,1200,1195,1150,1200,1295,1300,1350,1350,1350,1350,1350,1300,1350,1300,1355,1395,1450,1432,1450,1485,1500,1450,1350,1350
"94109","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750,3625,3397.5,3200,3420,3600,3600,3650,3775,3750,3995,3947.5,3950,4100,3925,3775,3850,3750,3800,3972.5,3997.5,3825,3772.5,3725,3600,4000,3875,3601.5,3995,4200,3697.5,4000,3550,3600,3495,3552.5,3600,3500,3472.5,3450,3300,3550,3500,3450,3300,3272.5,3199,3150,3450,3350,3450,3495,3500,3497.5,3495,3450,3550,3500
"11226","New York","NY","New York-Newark-Jersey City","Kings",9,,,,,,,,,,,,,,1487.5,1400,1385,1300,1297.5,1350,1295,1400,1400,1400,1350,1400,1375,1508.5,1550,1500,1500,1499,1600,1700,1700,1750,1700,1600,1550,1600,1650,1650,1650,1675,1750,1772.5,1775,1750,1750,1800,1800,1795,1750,1750,1800,1850,1950,1850,1825,1895,1875,1949,1900,1900,1900,1900,1900,1900,1950,1999,1999,1955.5,2100,1925,2000,1849.5,1899.5,1900,1950,1950,1966,2000,2076,2000,2000,2000,1950,1950,1999,2000,1999,2000,2028,2150,2199,2250,2150
"10016","New York","NY","New York-Newark-Jersey City","New York",10,,,,2500,2550,2700,2750,2800,2850,2897.5,2900,2900,2912.5,2995,2900,2900,2900,2900,2900,3071,3084,3089.5,3150,3150,3150,3125,3050,3000,3000,3000,3000,3100,3100,3150,3200,3195,3175,3100,3100,3075,3100,3120,3150,3200,3200,3450,3421,3395,3375,3400,3436.5,3395,3395,3479.5,3450,3400,3400,3400,3395,3350,3314.5,3300,3272.5,3250,3295,3295,3295,3325,3300,3300,3295,3350,3400,3300,3300,3210,3295,3300,3380,3400,3395,3400,3400,3400,3395,3300,3300,3300,3300,3300,3387,3450,3495,3475,3472,3395
