"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-10-31,"10025","NY","New York-Newark-Jersey City","New York County","New York",0,3448,0.000870827285921626,-0.00173711638679792,-0.0414234083958855,22431
2018-10-31,"60657","IL","Chicago-Naperville-Elgin","Cook County","Chicago",1,1810,0.00388241819190238,0.000552791597567717,-0.0665291387313048,32223
2018-10-31,"10023","NY","New York-Newark-Jersey City","New York County","New York",2,3654,0.00578034682080925,0.00219418540866703,-0.0768064679130874,29114
2018-10-31,"77494","TX","Houston-The Woodlands-Sugar Land","Harris County","Katy",3,2182,-0.00182982616651418,-0.00228623685413809,0.00971772327626099,31576
2018-10-31,"60614","IL","Chicago-Naperville-Elgin","Cook County","Chicago",4,1961,0.00719054956343092,0.00615700359158543,-0.10004589261129,33150
2018-10-31,"79936","TX","El Paso","El Paso County","El Paso",5,993,0.00201816347124117,0.00201816347124117,-0.00600600600600601,31486
2018-10-31,"77449","TX","Houston-The Woodlands-Sugar Land","Harris County","Katy",6,1448,0.00207612456747405,0.00277008310249307,0.00555555555555556,31979
2018-10-31,"77084","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",7,1447,0.00207756232686981,0.00207756232686981,0.00416377515614157,26718
2018-10-31,"10002","NY","New York-Newark-Jersey City","New York County","New York",8,3674,0.00355094236547391,0.00163576881134133,-0.0329033956304291,9172
2018-10-31,"10467","NY","New York-Newark-Jersey City","Bronx County","New York",9,1800,0.00334448160535117,0.00278551532033426,0.0129431626336522,7339
2018-10-31,"60640","IL","Chicago-Naperville-Elgin","Cook County","Chicago",10,1600,0.00187852222917971,0.00439422473320778,-0.0208078335373317,22477
2018-10-31,"94109","CA","San Francisco-Oakland-Hayward","San Francisco County","San Francisco",11,4391,0.00205385668644455,-0.000682749203459263,-0.0108132462266276,9561
2018-10-31,"11226","NY","New York-Newark-Jersey City","Kings County","New York",12,2198,0.000455166135639508,-0.00362647325475975,-0.0244118952507767,10575
2018-10-31,"10016","NY","New York-Newark-Jersey City","New York County","New York",13,3678,0.00272628135223555,0.00574241181296144,-0.0254372019077901,26908
2018-10-31,"37013","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",14,1481,0.002708192281652,0.00474898236092266,0.0220841959972395,22726
2018-10-31,"11375","NY","New York-Newark-Jersey City","Queens County","New York",15,2151,0.00232991612301957,0.00232991612301957,0.0316546762589928,22413
2018-10-31,"11235","NY","New York-Newark-Jersey City","Kings County","New York",16,2197,0,-0.000909504320145521,-0.0397727272727273,16914
2018-10-31,"78660","TX","Austin-Round Rock","Travis County","Pflugerville",17,1626,0.00246609124537608,0.00308451573103023,-0.0109489051094891,23295
2018-10-31,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Hawthorne",18,2701,0.00148312940304042,-0.00625459896983076,0.0238817285822593,14870
2018-10-31,"60647","IL","Chicago-Naperville-Elgin","Cook County","Chicago",19,1764,0.00512820512820513,0.0062749572162008,-0.041304347826087,20165
2018-10-31,"37211","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",20,1540,0.00130039011703511,0.000649772579597141,-0.00452488687782805,20517
2018-10-31,"10029","NY","New York-Newark-Jersey City","New York County","New York",21,2841,0.00282386163078009,0.0014099400775467,-0.0682190882256477,5782
2018-10-31,"10009","NY","New York-Newark-Jersey City","New York County","New York",22,3685,0.00408719346049046,0.00408719346049046,-0.0642458100558659,9251
2018-10-31,"60618","IL","Chicago-Naperville-Elgin","Cook County","Chicago",23,1773,0.0033955857385399,0.00112930547713156,-0.063391442155309,20788
2018-10-31,"10011","NY","New York-Newark-Jersey City","New York County","New York",24,4040,0.00397614314115308,0.00123915737298637,-0.0886532822016693,21512
2018-10-31,"77573","TX","Houston-The Woodlands-Sugar Land","Galveston County","League City",25,1946,0.00102880658436214,0,-0.0216189039718451,26004
2018-10-31,"10128","NY","New York-Newark-Jersey City","New York County","New York",26,3255,0.00370027752081406,0.00153846153846154,-0.03125,22879
