"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-09-30,"10025","NY","New York-Newark-Jersey City","New York","New York",0,3550,-0.000281610813855252,-0.00532362006164192,-0.0545938748335553,11590
2018-09-30,"60657","IL","Chicago-Naperville-Elgin","Cook","Chicago",1,1948,-0.00153767298821117,-0.0111675126903553,-0.0935318752908329,19955
2018-09-30,"10023","NY","New York-Newark-Jersey City","New York","New York",2,3734,0.00160944206008584,-0.00638637573177222,-0.10691222195647,16863
2018-09-30,"77494","TX","Houston-The Woodlands-Sugar Land","Harris","Katy",3,2250,0,0,-0.00088809946714032,26710
2018-09-30,"60614","IL","Chicago-Naperville-Elgin","Cook","Chicago",4,2199,0.00136612021857924,0.0027359781121751,-0.0709759188846641,22779
2018-09-30,"79936","TX","El Paso","El Paso","El Paso",5,994,0,0,-0.0216535433070866,29177
2018-09-30,"77449","TX","Houston-The Woodlands-Sugar Land","Harris","Katy",6,1444,0,0.000693000693000693,0.00487125956854558,29511
2018-09-30,"77084","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",7,1444,0,0.000693000693000693,0.00277777777777778,25525
2018-09-30,"10002","NY","New York-Newark-Jersey City","New York","New York",8,3733,0.00187869028448739,0.00484522207267833,-0.00638807559222784,3802
2018-09-30,"10467","NY","New York-Newark-Jersey City","Bronx","New York",9,1790,0,0,0.0112994350282486,1043
2018-09-30,"60640","IL","Chicago-Naperville-Elgin","Cook","Chicago",10,1625,0.00432632880098887,0.00743955362678239,-0.031585220500596,15051
2018-09-30,"94109","CA","San Francisco-Oakland-Hayward","San Francisco","San Francisco",11,4416,-0.000452693526482571,-0.00293519981937232,-0.0063006300630063,6444
2018-09-30,"11226","NY","New York-Newark-Jersey City","Kings","New York",12,2285,-0.0017474879860201,-0.00867678958785249,-0.0255863539445629,2383
2018-09-30,"10016","NY","New York-Newark-Jersey City","New York","New York",13,3793,0.001584367573277,0.00530082162735224,-0.00105346326046879,12425
2018-09-30,"37013","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson","Nashville",14,1483,0.00135043889264011,0.00474254742547425,0.0213498622589532,20170
2018-09-30,"11375","NY","New York-Newark-Jersey City","Queens","New York",15,2167,0.00138632162661738,0.00417052826691381,0.0265277119848413,14260
2018-09-30,"11235","NY","New York-Newark-Jersey City","Kings","New York",16,2229,-0.00179131213613972,-0.00624164065983058,-0.0193576770787506,8672
