"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-09-30,"10025","NY","New York-Newark-Jersey City","New York","New York",0,3443,-0.00116042935886278,-0.00548815713460428,-0.0396094839609484,21508
2018-09-30,"60657","IL","Chicago-Naperville-Elgin","Cook","Chicago",1,1774,-0.00224971878515186,-0.0061624649859944,-0.0716902145473574,28906
2018-09-30,"10023","NY","New York-Newark-Jersey City","New York","New York",2,3626,-0.00137703112090333,-0.00956022944550669,-0.0831858407079646,27716
2018-09-30,"77494","TX","Houston-The Woodlands-Sugar Land","Harris","Katy",3,1599,0,-0.00124921923797626,0,471
2018-09-30,"60614","IL","Chicago-Naperville-Elgin","Cook","Chicago",4,1902,0,-0.00314465408805032,-0.104097974564296,28458
2018-09-30,"79936","TX","El Paso","El Paso","El Paso",5,849,0,0,-0.00117647058823529,2212
2018-09-30,"77449","TX","Houston-The Woodlands-Sugar Land","Harris","Katy",6,1360,-0.00146842878120411,-0.00657414170927684,-0.00439238653001464,342
2018-09-30,"77084","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",7,1338,0,0.00224719101123596,0.0324074074074074,1140
2018-09-30,"10002","NY","New York-Newark-Jersey City","New York","New York",8,3641,-0.000823271130625686,-0.00654843110504775,-0.0339612629344654,8908
2018-09-30,"10467","NY","New York-Newark-Jersey City","Bronx","New York",9,1791,0,0,0.0176136363636364,6082
2018-09-30,"60640","IL","Chicago-Naperville-Elgin","Cook","Chicago",10,1577,0.00254291163382072,0.00509878903760357,-0.021104903786468,20422
2018-09-30,"94109","CA","San Francisco-Oakland-Hayward","San Francisco","San Francisco",11,4263,-0.00117150890346767,-0.00675675675675676,-0.0206753962784287,8799
2018-09-30,"11226","NY","New York-Newark-Jersey City","Kings","New York",12,2153,-0.00277906438165818,-0.0110243454294901,-0.0132905591200733,8987
2018-09-30,"10016","NY","New York-Newark-Jersey City","New York","New York",13,3653,0.000821917808219178,0.00274499039253363,-0.0209059233449477,25706
2018-09-30,"37013","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson","Nashville",14,1288,0.000777000777000777,0.0046801872074883,0.0157728706624606,3613
2018-09-30,"11375","NY","New York-Newark-Jersey City","Queens","New York",15,2137,0,-0.000467726847521048,0.0358700920988851,17055
2018-09-30,"11235","NY","New York-Newark-Jersey City","Kings","New York",16,2187,-0.000913659205116492,-0.00364464692482916,-0.0223513634331694,14232
2018-09-30,"78660","TX","Austin-Round Rock","Travis","Pflugerville",17,1517,-0.00197368421052632,-0.00131665569453588,-0.00654878847413229,866
2018-09-30,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",18,2481,0.00161485668146952,0.00201938610662359,-0.0193675889328063,5556
2018-09-30,"60647","IL","Chicago-Naperville-Elgin","Cook","Chicago",19,1690,-0.000591366055588409,-0.00294985250737463,-0.0441176470588235,14535
2018-09-30,"37211","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson","Nashville",20,1263,0.00317712470214456,0.00637450199203187,-0.0117370892018779,4720
2018-09-30,"10029","NY","New York-Newark-Jersey City","New York","New York",21,2820,-0.00106269925611052,-0.00564174894217207,-0.0668431502316347,5471
2018-09-30,"10009","NY","New York-Newark-Jersey City","New York","New York",22,3655,0.00136986301369863,-0.00245633187772926,-0.0659340659340659,8912
2018-09-30,"60618","IL","Chicago-Naperville-Elgin","Cook","Chicago",23,1622,-0.000616142945163278,-0.002460024600246,-0.0430678466076696,12787
2018-09-30,"10011","NY","New York-Newark-Jersey City","New York","New York",24,4004,-0.000499251123315027,-0.00792864222001982,-0.0881348212252334,20420
2018-09-30,"77573","TX","Houston-The Woodlands-Sugar Land","Galveston","League City",25,1399,0.000715307582260372,0.00502873563218391,0.054257724189902,1168
2018-09-30,"10128","NY","New York-Newark-Jersey City","New York","New York",26,3236,-0.00123456790123457,-0.00492004920049201,-0.0357568533969011,21764
2018-09-30,"11201","NY","New York-Newark-Jersey City","Kings","New York",27,2852,-0.00175008750437522,-0.00765483646485734,-0.0416666666666667,18911
2018-09-30,"28269","NC","Charlotte-Concord-Gastonia","Mecklenburg","Charlotte",28,1196,0,0.000836820083682008,0.0075821398483572,3295
2018-09-30,"20002","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",29,2531,-0.00118389897395422,-0.00511006289308176,-0.0829710144927536,17545
2018-09-30,"78130","TX","San Antonio-New Braunfels","Comal","New Braunfels",30,1288,0,-0.000775795190069822,-0.00846805234795997,1647
2018-09-30,"30349","GA","Atlanta-Sandy Springs-Roswell","Clayton","Riverdale",31,1039,0,0.000963391136801541,0.0580448065173116,2187
2018-09-30,"78572","TX","McAllen-Edinburg-Mission","Hidalgo","Mission",32,805,0,-0.00124069478908189,-0.094488188976378,826
2018-09-30,"94565","CA","San Francisco-Oakland-Hayward","Contra Costa","Pittsburg",33,1900,0.00158144438587243,0.00263852242744063,0,1275
2018-09-30,"79912","TX","El Paso","El Paso","El Paso",34,1024,-0.000975609756097561,-0.00678952473326867,-0.056221198156682,2021
2018-09-30,"90046","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",35,2919,-0.00307377049180328,-0.00916496945010183,-0.00983717774762551,5053
2018-09-30,"78613","TX","Austin-Round Rock","Williamson","Cedar Park",36,1574,0.00318674314850223,0.00639386189258312,-0.0156347717323327,1629
2018-09-30,"75052","TX","Dallas-Fort Worth-Arlington","Dallas","Grand Prairie",37,1192,0,0.000839630562552477,0.0205479452054795,1412
2018-09-30,"20009","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",38,2536,-0.002360346184107,-0.00898788589292692,-0.111422564821303,15369
2018-09-30,"37042","TN","Clarksville","Montgomery","Clarksville",39,701,0.00142857142857143,0,0.0130057803468208,1389
2018-09-30,"10462","NY","New York-Newark-Jersey City","Bronx","New York",40,1581,0,-0.00252365930599369,0.00190114068441065,17586
2018-09-30,"10456","NY","New York-Newark-Jersey City","Bronx","New York",41,1895,0,-0.00158061116965227,0.0155412647374062,2683
2018-09-30,"10003","NY","New York-Newark-Jersey City","New York","New York",42,3897,0,-0.00713375796178344,-0.0638962286812395,19774
2018-09-30,"77429","TX","Houston-The Woodlands-Sugar Land","Harris","Cypress",43,1340,-0.000745712155108128,-0.00297619047619048,0.017463933181473,344
2018-09-30,"77479","TX","Houston-The Woodlands-Sugar Land","Fort Bend","Sugar Land",44,1454,-0.00342700479780672,-0.00818553888130969,-0.0182309250506415,1090
2018-09-30,"11206","NY","New York-Newark-Jersey City","Kings","New York",45,2482,-0.00201045436268597,-0.00799360511590727,-0.0609156261823685,8214
2018-09-30,"63376","MO","St. Louis","Saint Charles","Saint Peters",46,999,0,0,-0.001998001998002,5106
2018-09-30,"60613","IL","Chicago-Naperville-Elgin","Cook","Chicago",47,1624,0.00123304562268804,0.00370828182941904,-0.0275449101796407,23161
2018-09-30,"30044","GA","Atlanta-Sandy Springs-Roswell","Gwinnett","Lawrenceville",48,1290,0,0,0.0386473429951691,2581
2018-09-30,"77036","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",49,940,-0.00106269925611052,-0.00529100529100529,0.0217391304347826,5466
2018-09-30,"11230","NY","New York-Newark-Jersey City","Kings","New York",50,2136,-0.000935453695042095,-0.0041958041958042,-0.0233196159122085,8273
