"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-09-30,"10025","NY","New York-Newark-Jersey City","New York","New York",0,3568,0.000841514726507714,0.000560852495793606,-0.0553349218956844,923
2018-09-30,"60657","IL","Chicago-Naperville-Elgin","Cook","Chicago",1,3279,0.00336597307221542,0.0170595533498759,-0.0901775804661487,3317
2018-09-30,"10023","NY","New York-Newark-Jersey City","New York","New York",2,3697,-0.000810810810810811,-0.0101740294511379,-0.0771342985521717,1398
2018-09-30,"77494","TX","Houston-The Woodlands-Sugar Land","Harris","Katy",3,2196,0,-0.000455166135639508,0.00872760679834635,31105
2018-09-30,"60614","IL","Chicago-Naperville-Elgin","Cook","Chicago",4,5085,0.00137849547065774,-0.00372257053291536,-0.0749499727123886,4692
2018-09-30,"79936","TX","El Paso","El Paso","El Paso",5,994,0,0,-0.0138888888888889,29274
2018-09-30,"77449","TX","Houston-The Woodlands-Sugar Land","Harris","Katy",6,1446,0,0.000692041522491349,0.00486448922863099,31637
2018-09-30,"77084","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",7,1449,0,0,0.00485436893203883,25578
2018-09-30,"10002","NY","New York-Newark-Jersey City","New York","New York",8,4136,-0.0026525198938992,-0.00886652288521447,-0.0678386297047555,264
2018-09-30,"10467","NY","New York-Newark-Jersey City","Bronx","New York",9,1825,-0.00109469074986316,0,0.00219659527732015,1257
2018-09-30,"60640","IL","Chicago-Naperville-Elgin","Cook","Chicago",10,2256,0.000443458980044346,0.00266666666666667,-0.0990415335463259,2055
2018-09-30,"94109","CA","San Francisco-Oakland-Hayward","San Francisco","San Francisco",11,5707,0,-0.00885724209795068,-0.00816823079596802,762
2018-09-30,"11226","NY","New York-Newark-Jersey City","Kings","New York",12,2330,-0.00128589798542649,-0.00682011935208866,-0.0399670374948496,1588
2018-09-30,"10016","NY","New York-Newark-Jersey City","New York","New York",13,3874,0.0015511892450879,0.000774993541720486,-0.0553523530846135,1202
2018-09-30,"37013","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson","Nashville",14,1499,0,0,0.00536552649228706,19113
2018-09-30,"11375","NY","New York-Newark-Jersey City","Queens","New York",15,2464,-0.00162074554294976,-0.0124248496993988,-0.14176245210728,5358
2018-09-30,"11235","NY","New York-Newark-Jersey City","Kings","New York",16,2261,-0.00220653133274492,-0.00876808417360807,-0.0633802816901408,2682
