zipcode,category,count,average_rating,average_review_count
15101,All Restaurants,10,3.75,28.9
15003,All Restaurants,8,3.9375,18.875
15005,All Restaurants,2,3.25,11.0
15006,All Restaurants,0,,
15007,All Restaurants,0,,
15102,All Restaurants,14,3.3214285714285716,35.785714285714285
15014,All Restaurants,3,4.166666666666667,1.3333333333333333
15104,All Restaurants,4,4.25,85.75
15015,All Restaurants,0,,
15017,All Restaurants,20,3.1,49.35
15018,All Restaurants,0,,
15020,All Restaurants,1,5.0,1.0
15106,All Restaurants,11,4.090909090909091,102.0909090909091
15024,All Restaurants,1,1.5,3.0
15025,All Restaurants,5,3.6,12.4
15026,All Restaurants,2,4.0,14.5
15108,All Restaurants,22,3.7045454545454546,50.36363636363637
15028,All Restaurants,0,,
15030,All Restaurants,1,4.0,12.0
15046,All Restaurants,1,3.5,5.0
15031,All Restaurants,1,3.0,8.0
15034,All Restaurants,0,,
15110,All Restaurants,1,1.0,10.0
15035,All Restaurants,0,,
15112,All Restaurants,1,4.0,5.0
15037,All Restaurants,12,3.875,11.75
15332,All Restaurants,2,2.75,4.5
15044,All Restaurants,12,3.0833333333333335,30.333333333333332
15045,All Restaurants,1,4.0,6.0
15116,All Restaurants,6,3.6666666666666665,47.0
15047,All Restaurants,0,,
15049,All Restaurants,0,,
15120,All Restaurants,21,3.261904761904762,107.42857142857143
15126,All Restaurants,4,4.125,16.25
15051,All Restaurants,0,,
15642,All Restaurants,20,3.55,23.05
15056,All Restaurants,2,4.0,14.0
16046,All Restaurants,12,3.5,80.75
15057,All Restaurants,3,3.1666666666666665,4.666666666666667
15136,All Restaurants,10,3.75,28.9
15131,All Restaurants,3,3.0,13.0
15132,All Restaurants,5,2.8,3.2
15133,All Restaurants,2,4.5,2.0
15135,All Restaurants,2,3.75,5.5
15063,All Restaurants,5,3.7,6.2
15146,All Restaurants,35,3.4,54.2
15064,All Restaurants,0,,
15668,All Restaurants,15,3.7333333333333334,49.06666666666667
15065,All Restaurants,7,3.5714285714285716,9.857142857142858
15068,All Restaurants,19,3.5,11.631578947368421
15137,All Restaurants,9,3.111111111111111,15.666666666666666
15071,All Restaurants,8,3.6875,16.375
15139,All Restaurants,9,3.611111111111111,51.44444444444444
15140,All Restaurants,0,,
15201,All Restaurants,25,3.76,188.48
15202,All Restaurants,20,3.65,38.15
15203,All Restaurants,42,3.869047619047619,144.3095238095238
15204,All Restaurants,0,,
15205,All Restaurants,21,3.6904761904761907,97.57142857142857
15206,All Restaurants,24,3.7708333333333335,195.79166666666666
15207,All Restaurants,3,3.8333333333333335,65.33333333333333
15208,All Restaurants,3,4.0,37.333333333333336
15209,All Restaurants,8,3.75,40.875
15210,All Restaurants,6,3.4166666666666665,29.5
15211,All Restaurants,7,4.071428571428571,254.14285714285714
15212,All Restaurants,17,3.911764705882353,48.23529411764706
15213,All Restaurants,45,3.6555555555555554,131.17777777777778
15214,All Restaurants,1,5.0,1.0
15215,All Restaurants,8,3.0625,42.25
15216,All Restaurants,25,3.46,76.72
15217,All Restaurants,33,3.712121212121212,161.03030303030303
15218,All Restaurants,12,3.7916666666666665,100.41666666666667
15219,All Restaurants,23,3.847826086956522,79.82608695652173
15220,All Restaurants,12,3.7916666666666665,45.5
15221,All Restaurants,4,3.875,29.5
15222,All Restaurants,57,3.8771929824561404,250.98245614035088
15223,All Restaurants,7,3.4285714285714284,23.0
15224,All Restaurants,27,3.7962962962962963,118.14814814814815
15225,All Restaurants,2,3.25,34.5
15226,All Restaurants,9,3.611111111111111,42.77777777777778
15227,All Restaurants,7,3.4285714285714284,23.428571428571427
15228,All Restaurants,14,3.9285714285714284,127.78571428571429
15229,All Restaurants,4,4.5,54.0
15232,All Restaurants,23,3.717391304347826,142.47826086956522
15233,All Restaurants,5,4.2,165.2
15234,All Restaurants,17,3.4705882352941178,50.64705882352941
15235,All Restaurants,13,3.8846153846153846,53.61538461538461
15236,All Restaurants,22,3.5681818181818183,47.40909090909091
15237,All Restaurants,38,3.4078947368421053,76.89473684210526
15238,All Restaurants,21,3.3333333333333335,33.80952380952381
15239,All Restaurants,8,3.25,21.0
15241,All Restaurants,14,3.0357142857142856,52.642857142857146
15243,All Restaurants,0,,
15260,All Restaurants,0,,
15290,All Restaurants,0,,
15142,All Restaurants,0,,
15075,All Restaurants,1,5.0,16.0
15076,All Restaurants,2,4.75,21.5
16055,All Restaurants,8,3.125,13.5
15143,All Restaurants,12,3.6666666666666665,49.166666666666664
15129,All Restaurants,4,3.375,36.0
15144,All Restaurants,4,4.25,45.25
15082,All Restaurants,1,4.5,7.0
15084,All Restaurants,14,3.357142857142857,18.785714285714285
15085,All Restaurants,1,4.5,7.0
15145,All Restaurants,4,3.875,31.5
16059,All Restaurants,1,2.5,22.0
15147,All Restaurants,3,4.0,26.0
15086,All Restaurants,4,3.875,87.5
15088,All Restaurants,2,4.5,3.0
15122,All Restaurants,11,3.3636363636363638,24.0
15089,All Restaurants,2,4.0,42.0
15090,All Restaurants,15,3.3333333333333335,68.2
15148,All Restaurants,2,4.25,9.5
